# RA DEC
0.00167 5.44333
0.00375 24.90889
0.01042 23.08472
0.01042 15.87222
0.00667 32.70834
0.01375 26.01639
0.02833 28.20194
0.03125 -0.04694
0.04542 4.28167
0.04792 1.12306
0.07167 27.39972
0.08833 31.01056
0.08333 34.61139
0.09333 20.80222
0.11542 5.54889
0.11667 17.22083
0.12542 26.32445
0.13375 30.86444
0.14083 22.77917
0.165 20.05917
0.16708 31.93611
0.19375 10.76389
0.205 12.77778
0.20875 14.27
0.21125 5.10028
0.21375 8.21167
0.2225 9.87083
0.22667 18.5025
0.23 20.34083
0.235 33.35
0.24792 28.90861
0.26333 4.515
0.27208 4.53167
0.27708 32.38222
0.28875 30.8725
0.28042 6.34
0.28667 5.30472
0.29792 13.09944
0.31167 31.37167
0.31333 4.1425
0.33167 34.52611
0.34917 13.11944
0.36292 14.40861
0.36417 5.38556
0.37417 31.23833
0.36583 8.09139
0.38125 31.44139
0.37917 11.34472
0.38167 5.49361
0.38917 9.00944
0.39375 15.08
0.39625 33.55639
0.40167 13.055
0.405 17.49028
0.40583 3.5075
0.41458 23.48778
0.40917 23.48694
0.41292 22.3625
0.42667 13.83861
0.41708 12.91139
0.42792 32.10778
0.48292 16.14167
0.48625 9.89333
0.50083 30.98306
0.505 12.51722
0.51042 17.56833
0.51542 16.59306
0.53083 10.30806
0.5375 9.37028
0.54542 5.25861
0.56 14.48917
0.56875 8.94278
0.59167 28.31194
0.58375 12.97167
0.59625 27.21417
0.59917 3.35944
0.62083 21.58861
0.62708 23.35222
0.63333 12.32389
0.645 23.62417
0.64958 16.64833
0.65792 8.72417
0.66292 33.60528
0.66333 12.05306
0.6675 16.60722
0.68167 3.96667
0.6925 18.88917
0.69208 12.30389
0.70708 18.96445
0.70958 31.48639
0.70833 32.76611
0.70917 1.84667
0.71417 13.09889
0.72083 3.49583
0.72583 29.57972
0.72375 4.20556
0.72583 3.41806
0.73 14.36528
0.73708 28.29833
0.73875 20.38583
0.76792 7.9325
0.78667 15.04667
0.79417 15.96778
0.79167 21.95972
0.80125 25.17611
0.80667 31.04528
0.81042 16.14694
0.82875 22.64722
0.8225 7.81361
0.82583 3.61861
0.82875 32.51028
0.83417 29.80083
0.84167 22.10111
0.8375 8.61195
0.84625 27.40805
0.84958 5.69917
0.86333 32.62111
0.87083 27.36889
0.89417 22.08694
0.8975 23.19778
0.89708 10.59583
0.90875 20.46083
0.91958 5.3725
0.92833 15.21833
0.94042 28.55389
0.93042 9.34722
0.93292 4.29833
0.93542 16.18833
0.94292 4.11111
0.95583 31.34778
0.94958 6.61611
0.95667 7.48361
0.96292 33.65694
0.9725 30.27555
0.97292 5.36333
0.97958 5.40028
1.00125 20.75194
1.00458 13.72139
1.01708 10.2925
1.03292 7.37667
1.06167 35.4625
1.05458 10.79722
1.06542 22.58528
1.10333 31.47056
1.10417 28.49611
1.105 6.17778
1.11917 20.72333
1.11875 22.3475
1.12 5.84472
1.12208 33.55694
1.1325 19.63083
1.13458 17.32028
1.14958 31.715
1.15917 29.5925
1.16708 7.67778
1.18292 26.83778
1.18542 5.23361
1.19208 5.24861
1.19708 33.31083
1.19917 34.77139
1.21167 17.19028
1.21333 7.05611
1.22292 29.87611
1.22583 28.10167
1.22417 4.41389
1.24 18.31222
1.26375 30.08278
