# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
2101 DESIXJ10343883+0300202 158.661791 3.005598 0.0716 170 1 -1975 401
5958 DESIXJ14233131+5255240 215.880443 52.923323 0.1058 35 2 64740 3284
7813 DESIXJ09230080+0631513 140.753332 6.530916 0.0616 176 4 -423 621
8240 DESIXJ12481358+5859414 192.056588 58.994822 0.0432 58 3 4494 1114
12657 DESIXJ16001270+3353171 240.052925 33.888080 0.0586 101 0 10585 315
13329 DESIXJ01191951+0116113 19.831281 1.269794 0.0863 64 1 38606 776
13497 DESIXJ14485641-0043381 222.235028 -0.727249 0.0281 78 1 -531 274
14796 DESIXJ10345431+0359292 158.726271 3.991452 0.1188 327 12 -8482 1825
16443 DESIXJ12494467-0258262 192.436116 -2.973949 0.0564 138 1 11090 295
16445 DESIXJ10374024+1200336 159.417651 12.009340 0.0693 141 3 10452 822
17352 DESIXJ12290298+6038247 187.262398 60.640191 0.0436 122 5 -3395 732
20119 DESIXJ12553689-0053019 193.903724 -0.883855 0.0227 109 1 -1001 155
20188 DESIXJ13371963-0115381 204.331777 -1.260594 0.0800 116 1 9628 503
22448 DESIXJ14304316+3014554 217.679836 30.248735 0.0687 199 1 5145 410
22641 DESIXJ14191621+0459453 214.817522 4.995920 0.0860 52 3 33220 1983
24144 DESIXJ09260700+3859156 141.529151 38.987663 0.0568 121 8 4829 1452
25365 DESIXJ23364695+0037237 354.195633 0.623252 0.0088 24 4 1478 575
25798 DESIXJ07392062+2721384 114.835922 27.360675 0.0267 124 2 -1388 231
25803 DESIXJ14004608-0307405 210.192006 -3.127917 0.0361 80 1 -1491 344
25840 DESIXJ14501789+0358399 222.574540 3.977763 0.0647 92 4 5000 1207
27009 DESIXJ12182141+5943532 184.589220 59.731443 0.0493 156 7 3804 887
28334 DESIXJ13034271+0557361 195.927943 5.960023 0.0625 194 2 -4930 480
29655 DESIXJ13044885+5540123 196.203526 55.670074 0.0282 122 1 -2233 249
30103 DESIXJ14255696-0223394 216.487324 -2.394281 0.0312 33 2 10859 841
30384 DESIXJ12311844-0050555 187.826813 -0.848759 0.0606 61 2 23943 982
31023 DESIXJ16524352+3922126 253.181351 39.370173 0.0155 243 15 -5498 378
31095 DESIXJ14202342+0409149 215.097581 4.154139 0.0546 54 3 13630 1303
32819 DESIXJ13503213+0311390 207.633880 3.194159 0.0325 203 4 2806 273
33824 DESIXJ11490788-0240436 177.282845 -2.678773 0.1002 96 2 22778 972
35412 DESIXJ08275662+1742046 126.985915 17.701266 0.0270 70 3 -40 474
36247 DESIXJ16043205+1228305 241.133545 12.475134 0.0408 123 6 2415 869
37196 DESIXJ15400042+3118090 235.001740 31.302502 0.0673 147 1 4079 355
39242 DESIXJ14143182+4530446 213.632590 45.512390 0.0678 185 4 -6149 744
45215 DESIXJ14295827+3652250 217.492792 36.873609 0.0026 43 2 -618 62
47293 DESIXJ13214648+0012549 200.443678 0.215254 0.0341 190 1 -308 178
48103 DESIXJ10440588-0057449 161.024483 -0.962459 0.0265 43 2 6064 554
48474 DESIXJ09562878-0559147 149.119918 -5.987413 0.0687 212 1 -846 401
49905 DESIXJ12341406-0727525 188.558564 -7.464592 0.0261 81 1 469 198
50579 DESIXJ13355299-0354173 203.970780 -3.904803 0.0579 61 1 15087 483
51242 DESIXJ09461313-0337247 146.554709 -3.623530 0.0376 42 1 16242 559
52557 DESIXJ09372435-0355208 144.351462 -3.922446 0.0694 158 2 6637 517
56285 DESIXJ10081748-0346035 152.072818 -3.767651 0.0203 86 0 3616 116
56934 DESIXJ17241315+1355133 261.054777 13.920349 0.0304 74 2 5396 483
59575 DESIXJ14102314-0352133 212.596425 -3.870373 0.0478 121 3 2382 491
59839 DESIXJ21451219-0308546 326.300812 -3.148498 0.0562 137 3 5784 560
62270 DESIXJ16362741+0130397 249.114218 1.511015 0.0326 78 3 -760 610
63208 DESIXJ02154374-0536307 33.932270 -5.608532 0.0533 123 2 3113 382
63795 DESIXJ04190791-0654413 64.782950 -6.911471 0.0624 151 1 -268 316
64390 DESIXJ11411175-0347542 175.298941 -3.798381 0.0978 168 1 15437 534
67113 DESIXJ07330447+2956595 113.268625 29.949874 0.0612 152 1 2006 298
67467 DESIXJ13541640-0132379 208.568344 -1.543872 0.0357 135 1 1466 278
71498 DESIXJ17422301+3209337 265.595880 32.159361 0.0582 233 10 -4256 1013
74936 DESIXJ09593139-0119377 149.880776 -1.327140 0.0464 143 1 1479 257
76197 DESIXJ11214584+0225176 170.441018 2.421566 0.0086 69 14 -1705 706
76832 DESIXJ09175495-0127369 139.478950 -1.460251 0.0736 260 1 -1545 393
77119 DESIXJ11280609-0745287 172.025376 -7.757984 0.0615 244 3 -3988 466
79997 DESIXJ09491824-0148546 147.325990 -1.815159 0.0313 55 1 4513 333
83789 DESIXJ21055390-0255231 316.474596 -2.923087 0.0491 87 11 7086 2420
85358 DESIXJ10295501-0314079 157.479189 -3.235518 0.0378 400 1 -9941 244
85952 DESIXJ13001776-0709539 195.073995 -7.164968 0.0905 230 3 -10153 676
86092 DESIXJ10043271-0138005 151.136276 -1.633458 0.0452 51 7 8036 2557
90227 DESIXJ22572042+1919364 344.335100 19.326779 0.0635 198 3 2433 557
90602 DESIXJ16343479+2137151 248.644965 21.620851 0.0318 16 2 23884 1588
93568 DESIXJ09085105+0326550 137.212693 3.448604 0.0128 72 3 1155 266
94880 DESIXJ20352115-0600274 308.838143 -6.007604 0.1192 178 2 10847 822
95000 DESIXJ14290603+0750458 217.275106 7.846043 0.0269 59 0 8897 197
97774 DESIXJ09342782+3906165 143.615903 39.104596 0.0628 125 1 11390 451
100528 DESIXJ14431166+3810458 220.798584 38.179401 0.0595 77 1 14887 474
102773 DESIXJ10471301+0012160 161.804207 0.204445 0.0378 57 1 7045 402
108639 DESIXJ16023393+1327055 240.641362 13.451541 0.0473 91 3 6748 652
110020 DESIXJ14420634+0319509 220.526418 3.330800 0.0253 87 2 3001 276
112373 DESIXJ08564387+4453486 134.182772 44.896824 0.0475 108 2 6961 554
112458 DESIXJ15303759+3216543 232.656644 32.281737 0.0911 237 1 -5406 487
112991 DESIXJ11090708+0203262 167.279490 2.057276 0.0573 237 2 -3882 390
114077 DESIXJ14331996+4115567 218.333174 41.265745 0.0182 23 5 5050 1710
114981 DESIXJ14590952+3045004 224.789679 30.750123 0.0334 19 1 23345 917
116556 DESIXJ10204363-0101011 155.181806 -1.016963 0.0525 136 2 166 478
120000 DESIXJ08180546+0730052 124.522753 7.501456 0.0758 178 1 3162 356
121987 DESIXJ13291382+0043428 202.307600 0.728549 0.0225 101 2 1143 196
123245 DESIXJ12265999+4839041 186.749964 48.651150 0.1013 73 4 36135 2421
124550 DESIXJ07572633+1232090 119.359721 12.535835 0.0484 94 5 113 1088
124779 DESIXJ11572350+0432350 179.347931 4.543054 0.0202 129 2 34 174
126228 DESIXJ09513533+0026053 147.897213 0.434813 0.0207 53 0 4377 125
126893 DESIXJ11183401+0100420 169.641704 1.011676 0.0622 25 1 44345 1280
128982 DESIXJ11262587-0152407 171.607783 -1.877972 0.0395 157 1 1410 201
129471 DESIXJ15415350+3537529 235.472916 35.631352 0.1144 106 6 34128 2554
133855 DESIXJ17500760+6525189 267.531673 65.421929 0.0443 96 1 3170 352
134311 DESIXJ18383683+5215548 279.653447 52.265230 0.1094 216 3 7704 844
142851 DESIXJ10120281-0214569 153.011694 -2.249137 0.0203 55 22 -787 3922
147369 DESIXJ11465997-0607406 176.749882 -6.127935 0.0271 142 3 -5569 293
149009 DESIXJ12004772-0001242 180.198842 -0.023393 0.0065 14 4 2674 1048
156271 DESIXJ01351006+2400267 23.791926 24.007423 0.0110 86 2 -2174 153
156492 DESIXJ12442880+0028055 191.119993 0.468207 0.0039 60 13 -26 364
157785 DESIXJ01233560+0759178 20.898346 7.988275 0.0863 298 8 -2740 954
158139 DESIXJ16211039+0247556 245.293279 2.798787 0.0247 84 5 1153 557
159405 DESIXJ04381668-0641526 69.569504 -6.697934 0.0595 239 5 -1841 535
162013 DESIXJ15521958+2934368 238.081587 29.576889 0.0331 24 4 11786 2202
167587 DESIXJ09201136-0229270 140.047352 -2.490831 0.0708 27 1 52729 1801
171380 DESIXJ10510084-0222526 162.753507 -2.381275 0.0218 126 0 -1836 105
173303 DESIXJ09323226-0540581 143.134409 -5.682807 0.0215 111 1 242 151
174444 DESIXJ10080236-0434491 152.009843 -4.580296 0.0592 58 1 15795 653
175499 DESIXJ09004832-0630522 135.201333 -6.514511 0.0454 218 2 -450 266
176404 DESIXJ10431901+0508180 160.829224 5.138330 0.0681 47 2 36294 1279
178570 DESIXJ01075975+0308336 16.998974 3.142659 0.0451 201 2 -2297 321
180136 DESIXJ12143096+0210007 183.629016 2.166853 0.0743 166 3 6306 702
183222 DESIXJ03291081-0102465 52.295052 -1.046264 0.0358 39 6 7852 2236
184651 DESIXJ13132768+5332448 198.365340 53.545782 0.0639 193 10 -1377 1330
186035 DESIXJ10164058+0251250 154.169072 2.856957 0.0482 245 2 -3512 308
186239 DESIXJ12403465+6249174 190.144377 62.821500 0.0748 197 2 3998 576
186389 DESIXJ12024823+6533350 180.700967 65.559710 0.0315 94 3 -4903 496
188741 DESIXJ15510153+0636226 237.756370 6.606287 0.0687 46 3 25878 1875
190817 DESIXJ15280765+0617517 232.031890 6.297681 0.0609 170 5 3251 722
191796 DESIXJ16444523+2423036 251.188446 24.384343 0.0455 62 2 6918 856
194044 DESIXJ10000811+0245545 150.033774 2.765138 0.0289 139 0 -1573 168
194465 DESIXJ13355989+0338197 203.999562 3.638815 0.0228 37 3 4043 865
196562 DESIXJ00092156-0004136 2.339821 -0.070444 0.0576 151 3 -3423 542
196761 DESIXJ15502191+4312471 237.591275 43.213086 0.0347 89 4 -2612 614
198258 DESIXJ16273899+0848252 246.912478 8.807004 0.0507 95 9 8113 1831
198969 DESIXJ10513991+3731371 162.916298 37.526959 0.0306 71 1 6600 344
201663 DESIXJ16192140+3708021 244.839179 37.133925 0.0286 65 16 -68 3051
202115 DESIXJ15103430+3136188 227.642931 31.605224 0.0306 27 1 10299 776
202962 DESIXJ09423568+0129570 145.648656 1.499166 0.0467 91 4 6053 932
204059 DESIXJ12131234+5431225 183.301412 54.522905 0.0499 113 3 3401 617
205178 DESIXJ08110476+0617549 122.769827 6.298595 0.0145 96 1 -644 103
205349 DESIXJ12511461+0520344 192.810890 5.342889 0.0251 48 1 5317 342
206386 DESIXJ22461879+0106224 341.578305 1.106227 0.0582 247 2 -13438 343
207148 DESIXJ13120708+3404294 198.029494 34.074820 0.0336 17 5 17488 4868
207228 DESIXJ08014871+2608467 120.452948 26.146309 0.0266 117 1 230 205
208554 DESIXJ10380983-0013146 159.540954 -0.220718 0.0946 164 1 10799 582
208890 DESIXJ13500655+0716188 207.527289 7.271899 0.0528 19 2 29822 3106
212294 DESIXJ14595735+0144090 224.988959 1.735829 0.0532 88 5 811 1348
213390 DESIXJ22464711-0850050 341.696281 -8.834734 0.0627 156 2 141 408
215213 DESIXJ21252779+0452382 321.365810 4.877270 0.0850 38 1 56391 1387
216195 DESIXJ14114994-0028494 212.958078 -0.480398 0.0976 156 1 11533 536
218205 DESIXJ07324798+3759334 113.199897 37.992617 0.0357 62 2 7515 520
218706 DESIXJ13095110+0318334 197.462898 3.309292 0.1107 336 5 -10131 849
220474 DESIXJ10203116+0448549 155.129818 4.815254 0.0627 11 2 64132 5257
220485 DESIXJ12235153+5602588 185.964701 56.049668 0.0453 66 1 13074 508
221587 DESIXJ20524150-0331243 313.172920 -3.523405 0.0574 209 2 546 396
223700 DESIXJ20444754+0234521 311.198080 2.581153 0.0272 177 5 -13 354
230544 DESIXJ11234598-0442238 170.941576 -4.706612 0.0092 45 6 1796 457
232529 DESIXJ02235067-0437030 35.961138 -4.617495 0.0076 29 4 1030 429
232776 DESIXJ12151145-0043324 183.797726 -0.725664 0.0477 10 1 35065 2381
233377 DESIXJ10123542-0214211 153.147580 -2.239204 0.0200 50 4 1157 630
242577 DESIXJ22252975+2538239 336.373978 25.639977 0.0533 109 5 11099 1060
243701 DESIXJ06505707+6527272 102.737802 65.457560 0.0380 202 2 -6053 283
