# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
13972 DESIXJ13431524+0219406 205.813495 2.327947 0.0798 209 6 -85 1170
71443 DESIXJ10010932+7313060 150.288852 73.218335 0.1150 642 41 -38936 2916
78264 DESIXJ14395976-0341578 219.998989 -3.699382 0.0585 156 11 4211 1734
91143 DESIXJ11174561+0227117 169.440025 2.453246 0.0303 201 15 -5246 911
110860 DESIXJ10485488-0042339 162.228678 -0.709403 0.0261 53 3 6508 699
145305 DESIXJ07134732+5035093 108.447179 50.585917 0.0191 242 12 -9040 398
159653 DESIXJ13003721-0343339 195.155060 -3.726085 0.0854 257 19 3106 2694
181763 DESIXJ21062351+0001095 316.597961 0.019302 0.0504 209 25 -9341 2451
186914 DESIXJ15074783+0117315 226.949287 1.292076 0.0069 31 28 1263 2340
193587 DESIXJ15092408-0139537 227.350330 -1.664923 0.0212 106 1 -551 175
197794 DESIXJ23235404+0940035 350.975179 9.667632 0.0117 261 11 -1916 211
202961 DESIXJ14170308+3629240 214.262829 36.489997 0.0112 166 27 -3686 721
213993 DESIXJ15091497+0155172 227.312366 1.921434 0.0058 43 35 -578 1901
280549 DESIXJ15464904+3719299 236.704317 37.324969 0.0655 294 4 -8579 617
284769 DESIXJ01264226-0105162 21.676076 -1.087826 0.0146 31 32 2308 5105
301507 DESIXJ14253470-0122341 216.394593 -1.376131 0.0555 228 26 -5867 2493
317571 DESIXJ14095170-0609248 212.465437 -6.156897 0.0449 191 24 -34 2261
330750 DESIXJ14092225-0610472 212.342708 -6.179786 0.0752 160 9 3739 1774
331964 DESIXJ11195625-0128486 169.984390 -1.480165 0.0249 103 14 3556 1336
340118 DESIXJ01183453+3049259 19.643895 30.823864 0.0518 231 23 -606 2016
353670 DESIXJ13342522+3441256 203.605097 34.690431 0.0240 179 14 5770 748
374961 DESIXJ14291958+0242379 217.331589 2.710515 0.0060 333 13 -5669 99
379179 DESIXJ14074132+0253062 211.922164 2.885055 0.0490 112 16 3223 2749
382966 DESIXJ22205088+0108102 335.211997 1.136169 0.0871 151 14 9631 3284
396769 DESIXJ15073724+0201094 226.905170 2.019278 0.0064 56 17 -406 899
