# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
18171 DESIXJ21105773+0109527 317.740560 1.164637 0.0903 219 1 -555 542
18900 DESIXJ13403122+0437086 205.130097 4.619043 0.0224 52 2 2647 351
20828 DESIXJ20452158-0505449 311.339907 -5.095804 0.0522 97 1 9894 335
24403 DESIXJ13023920-0257343 195.663329 -2.959515 0.0675 222 1 -2594 411
34318 DESIXJ15173290+0109051 229.387090 1.151405 0.1257 235 38 7564 7706
43314 DESIXJ19180598+6436397 289.524898 64.611027 0.0255 104 2 1327 299
61768 DESIXJ23195165+0025234 349.965218 0.423153 0.0341 123 0 -305 278
63092 DESIXJ14161558-0127527 214.064897 -1.464640 0.0363 149 0 -5767 286
65921 DESIXJ21443087-0617367 326.128630 -6.293535 0.0900 89 21 26924 8751
92813 DESIXJ12311976+5732160 187.832342 57.537789 0.0897 198 7 159 1472
93998 DESIXJ13121578+5559117 198.065747 55.986581 0.0322 71 1 2463 289
96707 DESIXJ21125256-0021584 318.218985 -0.366214 0.0320 46 4 1628 1263
103331 DESIXJ14061082-0227322 211.545101 -2.458936 0.0351 73 1 961 432
104659 DESIXJ14260656-0226522 216.527338 -2.447826 0.0737 41 0 34472 802
107464 DESIXJ12362820+5118130 189.117505 51.303608 0.1430 243 1 3993 1336
109295 DESIXJ10595175+0444561 164.965645 4.748929 0.0532 11 2 46163 3841
109564 DESIXJ09171154+3955209 139.298102 39.922479 0.0279 31 2 9353 723
113164 DESIXJ13272854+4932434 201.868902 49.545400 0.0870 143 2 5287 676
115633 DESIXJ10084045+5843567 152.168524 58.732413 0.0310 199 1 -2158 204
117558 DESIXJ14150485-0014464 213.770193 -0.246221 0.0387 53 3 -349 1036
121946 DESIXJ11262204+0223255 171.591847 2.390417 0.0456 114 6 7249 1070
122726 DESIXJ12574945+5903026 194.456028 59.050716 0.0223 75 4 -2958 481
123165 DESIXJ16022885+1353050 240.620198 13.884735 0.0343 103 1 2633 197
123909 DESIXJ11482283-0316012 177.095131 -3.266991 0.1238 243 13 7248 2465
124861 DESIXJ14170416-0251399 214.267331 -2.861071 0.0296 20 6 11612 4141
126773 DESIXJ11010284-0047228 165.261830 -0.789656 0.0445 49 0 11340 449
131461 DESIXJ14340092-0303486 218.503828 -3.063493 0.0430 87 1 7064 480
136291 DESIXJ13010078-0158395 195.253269 -1.977629 0.0047 11 32 1013 1853
138488 DESIXJ14092017-0539457 212.334027 -5.662704 0.0297 44 7 968 2016
151873 DESIXJ11523145-0340291 178.131057 -3.674744 0.0055 28 12 1036 1146
156453 DESIXJ11324545-0044278 173.189368 -0.741055 0.0224 57 1 4210 298
160227 DESIXJ04363918-0217088 69.163267 -2.285789 0.0323 147 3 -2198 385
165198 DESIXJ11373922-0048542 174.413426 -0.815045 0.0443 143 0 -976 230
166352 DESIXJ11531465-0323486 178.311025 -3.396844 0.0125 60 6 -414 584
168698 DESIXJ17324265+1535461 263.177705 15.596144 0.0463 54 0 19278 426
179552 DESIXJ13260543-0115132 201.522613 -1.253658 0.0546 110 2 2302 586
182492 DESIXJ08452911+0402129 131.371288 4.036919 0.0961 136 5 5738 1399
186928 DESIXJ14291177-0014152 217.299049 -0.237558 0.0344 70 3 7242 618
191095 DESIXJ09573291+0040049 149.387141 0.668022 0.0871 198 1 490 566
195392 DESIXJ12504595-0326239 192.691445 -3.439963 0.1192 90 0 33229 1325
201535 DESIXJ14421952+3706460 220.581325 37.112776 0.0332 65 8 625 1586
205885 DESIXJ11074860+0055272 166.952516 0.924226 0.0613 111 3 4582 819
207461 DESIXJ15570869+3323466 239.286223 33.396281 0.1049 138 8 14762 2553
210027 DESIXJ22580448-0027440 344.518683 -0.462227 0.0162 44 1 1150 295
211078 DESIXJ14310320+3531119 217.763341 35.519969 0.0136 27 2 4313 446
212110 DESIXJ14511440+3532316 222.809986 35.542117 0.0043 82 4 -1017 86
212750 DESIXJ13384195+5033478 204.674796 50.563279 0.0143 28 10 1811 2544
222663 DESIXJ02202854-0537050 35.118900 -5.618069 0.0455 101 1 6176 611
222667 DESIXJ10545071-0058355 163.711311 -0.976520 0.0751 141 5 9351 1414
228678 DESIXJ12135422-0105203 183.475914 -1.088975 0.0066 51 24 -2512 1560
230453 DESIXJ04270676-1729212 66.778150 -17.489228 0.0314 40 5 4255 1525
231231 DESIXJ15092310-0316038 227.346241 -3.267713 0.0363 168 2 -2345 281
235850 DESIXJ16565605+2926446 254.233546 29.445733 0.0385 107 1 4947 339
238713 DESIXJ07165923+4356094 109.246780 43.935953 0.0646 137 1 8945 451
241749 DESIXJ10211829-0033531 155.326192 -0.564750 0.0532 206 1 3156 300
249545 DESIXJ13190263+3253484 199.760964 32.896788 0.0265 55 1 3677 397
260992 DESIXJ16014954+1843174 240.456436 18.721498 0.0088 28 4 637 537
261824 DESIXJ09504177+7747549 147.674048 77.798580 0.0379 86 8 1863 1427
262345 DESIXJ00184090-0320587 4.670415 -3.349637 0.0210 101 5 432 451
263074 DESIXJ04212040-0202453 65.334980 -2.045917 0.0406 76 1 3960 519
271351 DESIXJ15482994+3149385 237.124770 31.827362 0.0969 159 14 13216 3416
272387 DESIXJ15190840+0502234 229.785004 5.039821 0.0396 84 1 3886 362
278436 DESIXJ15431393+0737227 235.808025 7.622972 0.0714 219 7 -6669 946
279389 DESIXJ08382862+4431051 129.619266 44.518095 0.0546 189 1 -5227 461
280049 DESIXJ08491339+0051064 132.305797 0.851784 0.0432 128 0 4472 247
281560 DESIXJ11301053-0126528 172.543888 -1.447990 0.1190 685 13 -33224 1359
284044 DESIXJ09403081+0729219 145.128391 7.489421 0.0167 65 21 -1111 2506
285290 DESIXJ11350495+0233050 173.770616 2.551383 0.0174 31 0 7442 304
288153 DESIXJ14573203+4252386 224.383464 42.877395 0.0343 131 11 -4421 1090
291099 DESIXJ10054702+0214435 151.445930 2.245405 0.0457 281 24 1167 1540
297874 DESIXJ14152690+3624308 213.862082 36.408549 0.0282 61 6 3475 1172
300039 DESIXJ02364851-0030214 39.202132 -0.505942 0.0401 87 3 -191 816
304094 DESIXJ21120042-0016465 318.001758 -0.279585 0.0118 71 1 -897 156
305632 DESIXJ10074482-0013195 151.936765 -0.222094 0.0949 160 3 5258 900
306108 DESIXJ14174112-0008392 214.421349 -0.144209 0.0496 92 3 3257 828
306945 DESIXJ11294765+6753415 172.448542 67.894859 0.0523 117 2 -1773 542
307454 DESIXJ08494428+0457286 132.434483 4.957956 0.0315 71 1 -714 349
311843 DESIXJ14483247-0034307 222.135289 -0.575197 0.0431 84 2 4760 475
313023 DESIXJ13342969+0339401 203.623722 3.661144 0.0566 443 5 -17522 476
315716 DESIXJ13410350+0344472 205.264588 3.746446 0.0237 67 0 66 248
323574 DESIXJ10095881-0448011 152.495042 -4.800314 0.0561 104 4 6335 896
334441 DESIXJ01264971-0058310 21.707106 -0.975272 0.0162 159 1 -2304 144
