SGA_ID,Spiral,Spiral_Pred,Elliptical,Elliptical_Pred,Irregular,Irregular_Pred,Lenticular,Lenticular_Pred
38.0,1,Spiral,0,Other,0,Other,0,Other
55.0,0,Other,0,Other,0,Other,0,Other
117.0,1,Spiral,0,Other,0,Other,0,Other
223.0,0,Other,0,Other,0,Other,0,Other
581.0,0,Other,0,Other,0,Other,0,Other
669.0,1,Spiral,0,Other,0,Other,0,Other
731.0,0,Other,0,Other,1,Irregular,0,Other
1135.0,0,Other,0,Other,1,Irregular,0,Other
1158.0,1,Spiral,0,Other,0,Other,0,Other
1287.0,1,Spiral,0,Other,0,Other,0,Other
1289.0,1,Spiral,0,Other,0,Other,0,Other
1358.0,1,Spiral,0,Other,0,Other,0,Other
1548.0,1,Spiral,0,Other,0,Other,0,Other
1583.0,0,Other,0,Other,1,Irregular,0,Other
1663.0,1,Spiral,0,Other,0,Other,0,Other
1787.0,0,Other,0,Other,1,Irregular,0,Other
1849.0,1,Spiral,0,Other,0,Other,0,Other
1996.0,1,Spiral,0,Other,0,Other,0,Other
2101.0,0,Other,0,Other,0,Other,0,Other
2308.0,1,Spiral,0,Other,0,Other,0,Other
2314.0,1,Spiral,0,Other,0,Other,0,Other
2316.0,0,Other,0,Other,1,Irregular,0,Other
2371.0,0,Other,0,Other,0,Other,0,Other
2406.0,0,Other,0,Other,0,Other,0,Other
2480.0,1,Spiral,0,Other,0,Other,0,Other
2711.0,1,Spiral,0,Other,0,Other,0,Other
2733.0,0,Other,0,Other,1,Irregular,0,Other
2994.0,0,Other,0,Other,1,Irregular,0,Other
3033.0,0,Other,0,Other,0,Other,0,Other
3246.0,1,Spiral,0,Other,0,Other,0,Other
3258.0,1,Spiral,0,Other,0,Other,0,Other
3391.0,1,Spiral,0,Other,0,Other,0,Other
3455.0,0,Other,0,Other,1,Irregular,0,Other
3486.0,1,Spiral,0,Other,0,Other,0,Other
3523.0,1,Spiral,0,Other,0,Other,0,Other
4134.0,1,Spiral,0,Other,0,Other,0,Other
4331.0,1,Spiral,0,Other,0,Other,0,Other
4381.0,1,Spiral,0,Other,0,Other,0,Other
4400.0,1,Spiral,0,Other,0,Other,0,Other
4414.0,1,Spiral,0,Other,0,Other,0,Other
4448.0,1,Spiral,0,Other,0,Other,0,Other
4589.0,0,Other,0,Other,0,Other,0,Other
4614.0,0,Other,0,Other,0,Other,0,Other
4712.0,0,Other,0,Other,0,Other,0,Other
4864.0,1,Spiral,0,Other,0,Other,0,Other
5007.0,1,Spiral,0,Other,0,Other,0,Other
5102.0,1,Spiral,0,Other,0,Other,0,Other
5208.0,0,Other,0,Other,0,Other,0,Other
5505.0,1,Spiral,0,Other,0,Other,0,Other
5563.0,1,Spiral,0,Other,0,Other,0,Other
5567.0,1,Spiral,0,Other,0,Other,0,Other
5578.0,0,Other,0,Other,1,Irregular,0,Other
5732.0,1,Spiral,0,Other,0,Other,0,Other
5958.0,0,Other,0,Other,0,Other,0,Other
5975.0,0,Other,0,Other,0,Other,0,Other
6053.0,0,Other,0,Other,0,Other,0,Other
6069.0,1,Spiral,0,Other,0,Other,0,Other
6140.0,1,Spiral,0,Other,0,Other,0,Other
6211.0,0,Other,0,Other,0,Other,0,Other
6289.0,0,Other,0,Other,1,Irregular,0,Other
6537.0,1,Spiral,0,Other,0,Other,0,Other
6625.0,0,Other,0,Other,0,Other,0,Other
6671.0,1,Spiral,0,Other,0,Other,0,Other
7122.0,1,Spiral,0,Other,0,Other,0,Other
7298.0,1,Spiral,0,Other,0,Other,0,Other
7300.0,0,Other,0,Other,0,Other,0,Other
7419.0,0,Other,0,Other,0,Other,0,Other
7426.0,1,Spiral,0,Other,0,Other,0,Other
7483.0,1,Spiral,0,Other,0,Other,0,Other
7695.0,0,Other,0,Other,1,Irregular,0,Other
7707.0,0,Other,0,Other,0,Other,0,Other
7755.0,0,Other,0,Other,1,Irregular,0,Other
7805.0,1,Spiral,0,Other,0,Other,0,Other
7813.0,1,Spiral,0,Other,0,Other,0,Other
8106.0,1,Spiral,0,Other,0,Other,0,Other
8119.0,0,Other,0,Other,0,Other,0,Other
8226.0,1,Spiral,0,Other,0,Other,0,Other
8240.0,0,Other,0,Other,0,Other,0,Other
8289.0,1,Spiral,0,Other,0,Other,0,Other
8300.0,1,Spiral,0,Other,0,Other,0,Other
8434.0,0,Other,0,Other,0,Other,0,Other
