SGA_ID,Predicted_Type_spiral,Predicted_Type_elliptical,Predicted_Type_irregular,Predicted_Type_lenticular,Predicted_Type
218203.0,Other,Other,Irregular,Other,Irregular
218205.0,Other,Other,Irregular,Other,Irregular
218239.0,Other,Other,Irregular,Other,Irregular
218275.0,Other,Other,Irregular,Other,Irregular
218304.0,Spiral,Other,Other,Other,Spiral
218367.0,Other,Other,Irregular,Other,Irregular
218376.0,Spiral,Other,Other,Other,Spiral
218201.0,Other,Other,Irregular,Other,Irregular
218385.0,Spiral,Other,Other,Other,Spiral
217784.0,Other,Other,Irregular,Other,Irregular
218475.0,Other,Other,Irregular,Other,Irregular
217882.0,Other,Other,Irregular,Other,Irregular
217895.0,Spiral,Other,Other,Other,Spiral
218006.0,Spiral,Other,Other,Other,Spiral
218024.0,Other,Other,Irregular,Other,Irregular
218047.0,Spiral,Other,Other,Other,Spiral
218056.0,Spiral,Other,Other,Other,Spiral
218102.0,Other,Other,Irregular,Other,Irregular
218021.0,Spiral,Other,Other,Other,Spiral
217972.0,Spiral,Other,Other,Other,Spiral
218511.0,Spiral,Other,Other,Other,Spiral
219172.0,Spiral,Other,Other,Other,Spiral
219160.0,Spiral,Other,Other,Other,Spiral
219151.0,Spiral,Other,Other,Other,Spiral
219140.0,Spiral,Other,Other,Other,Spiral
219085.0,Spiral,Other,Other,Other,Spiral
219070.0,Other,Other,Irregular,Other,Irregular
219050.0,Spiral,Other,Other,Other,Spiral
218997.0,Spiral,Other,Other,Other,Spiral
218904.0,Other,Other,Irregular,Other,Irregular
218623.0,Spiral,Other,Other,Other,Spiral
218687.0,Other,Other,Irregular,Other,Irregular
218706.0,Spiral,Other,Other,Other,Spiral
218714.0,Spiral,Other,Other,Other,Spiral
218770.0,Spiral,Other,Other,Other,Spiral
218476.0,Spiral,Other,Other,Other,Spiral
218827.0,Spiral,Other,Other,Other,Spiral
218829.0,Spiral,Other,Other,Other,Spiral
218856.0,Spiral,Other,Other,Other,Spiral
218891.0,Spiral,Other,Other,Other,Spiral
218897.0,Spiral,Other,Other,Other,Spiral
218901.0,Other,Other,Irregular,Other,Irregular
218804.0,Spiral,Other,Other,Other,Spiral
216170.0,Other,Other,Irregular,Other,Irregular
216368.0,Spiral,Other,Other,Other,Spiral
216326.0,Spiral,Other,Other,Other,Spiral
216300.0,Spiral,Other,Other,Other,Spiral
216263.0,Spiral,Other,Other,Other,Spiral
216252.0,Spiral,Other,Other,Other,Spiral
216247.0,Spiral,Other,Other,Other,Spiral
216180.0,Other,Elliptical,Other,Other,Elliptical
216175.0,Spiral,Other,Other,Other,Spiral
216077.0,Spiral,Other,Other,Other,Spiral
216020.0,Other,Other,Irregular,Other,Irregular
215561.0,Spiral,Other,Other,Other,Spiral
215505.0,Spiral,Other,Other,Other,Spiral
215613.0,Spiral,Other,Other,Other,Spiral
215653.0,Spiral,Other,Other,Other,Spiral
215717.0,Spiral,Other,Other,Other,Spiral
215739.0,Spiral,Other,Other,Other,Spiral
215856.0,Spiral,Other,Other,Other,Spiral
215885.0,Spiral,Other,Other,Other,Spiral
