# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR LOGDIST_AVG LOGDIST_AVG_ERR MAIN 
692 DESIXJ12411157+1819512 190.298193 18.330884 0.0691 0.5000 0.4903 0.0288 85 6 16.7987 0.1126 0.1983 0.0552 0
2526 DESIXJ10124098+4543539 153.170765 45.731651 0.0241 0.3969 0.3677 0.0227 46 6 16.4224 0.1398 0.1804 0.0717 0
2804 DESIXJ07581109+3420293 119.546191 34.341483 0.0198 0.2924 0.5585 0.0350 121 5 14.3538 0.1607 -0.0479 0.0527 0
3420 DESIXJ01135557+0034028 18.481530 0.567434 0.0418 0.7610 0.3742 0.0169 82 22 16.5482 0.0542 0.0391 0.1185 0
5964 DESIXJ16261820+4219580 246.575840 42.332773 0.0465 0.9154 0.3389 0.0122 41 23 16.5430 0.0311 0.4811 0.2514 0
6243 DESIXJ13403564+1214293 205.148492 12.241463 0.0927 0.6161 0.8506 0.0122 315 14 15.3396 0.0872 -0.1452 0.0505 0
6493 DESIXJ12450567+1054032 191.273606 10.900881 0.0035 0.8997 0.6761 0.0011 213 23 13.5750 0.0287 -0.8711 0.0609 0
7553 DESIXJ09534429-0005255 148.434553 -0.090407 0.0836 0.7665 0.6715 0.0185 237 20 15.1360 0.0574 0.0103 0.0557 0
8007 DESIXJ03051303-0700487 46.304307 -7.013516 0.0284 0.4270 0.4408 0.0256 25 10 16.5644 0.1281 0.5769 0.1991 0
9101 DESIXJ08355812+3638556 128.992148 36.648781 0.0907 0.7314 0.7907 0.0106 262 16 15.3098 0.0660 -0.0504 0.0520 0
9267 DESIXJ14400822+3019097 220.034231 30.319374 0.1591 0.3716 0.9095 0.0404 313 14 15.6963 0.1428 0.0421 0.0524 0
9715 DESIXJ16093271+1400357 242.386295 14.009926 0.0322 0.2582 0.5617 0.0359 103 10 15.6085 0.1664 0.0034 0.0617 0
10415 DESIXJ13110249+0903184 197.760364 9.055119 0.0504 0.1882 0.4254 0.0466 62 11 16.1968 0.1848 0.3683 0.0811 0
10524 DESIXJ03050764-0630155 46.281823 -6.504298 0.0875 0.9759 0.7372 0.0298 147 48 15.6874 0.0438 0.1902 0.1473 0
11894 DESIXJ13543496+1921293 208.645677 19.358142 0.1323 0.3941 0.9277 0.0392 428 14 15.9538 0.1368 -0.2769 0.0509 0
12187 DESIXJ12035061+1433013 180.960889 14.550374 0.0030 0.5992 0.4638 0.0041 31 13 15.0648 0.0887 -0.1003 0.2023 0
12549 DESIXJ07564182+2822191 119.174247 28.371978 0.0221 0.8701 0.4388 0.0104 46 20 16.4528 0.0326 0.1387 0.2061 0
13398 DESIXJ13571273+2806056 209.303033 28.101560 0.0551 0.8275 0.6973 0.0507 209 9 16.1306 0.0563 -0.3033 0.0495 0
