# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR
692 DESIXJ12411157+1819512 190.298193 18.330884 0.0691 0.5000 0.4903 0.0288 92 3 17.0205 0.1382
2526 DESIXJ10124098+4543539 153.170765 45.731651 0.0241 0.3969 0.3677 0.0227 45 2 16.6626 0.1699
2804 DESIXJ07581109+3420293 119.546191 34.341483 0.0198 0.2924 0.5585 0.0350 120 0 14.6165 0.1966
3420 DESIXJ01135557+0034028 18.481530 0.567434 0.0418 0.7610 0.3742 0.0169 85 11 16.6905 0.0664
5964 DESIXJ16261820+4219580 246.575840 42.332773 0.0465 0.9154 0.3389 0.0122 43 3 16.7172 0.0339
6243 DESIXJ13403564+1214293 205.148492 12.241463 0.0927 0.6161 0.8506 0.0122 345 7 15.5139 0.1067
6493 DESIXJ12450567+1054032 191.273606 10.900881 0.0035 0.8997 0.6761 0.0011 213 12 13.7066 0.0329
6880 DESIXJ16001990+2910066 240.082930 29.168488 0.0772 0.4232 0.6745 0.0258 184 3 15.3161 0.1591
7553 DESIXJ09534429-0005255 148.434553 -0.090407 0.0836 0.7665 0.6715 0.0185 257 9 15.3035 0.0685
8007 DESIXJ03051303-0700487 46.304307 -7.013516 0.0284 0.4270 0.4408 0.0256 25 1 16.8001 0.1576
9101 DESIXJ08355812+3638556 128.992148 36.648781 0.0907 0.7314 0.7907 0.0106 286 6 15.4705 0.0788
9715 DESIXJ16093271+1400357 242.386295 14.009926 0.0322 0.2582 0.5617 0.0359 106 3 15.9017 0.2045
10415 DESIXJ13110249+0903184 197.760364 9.055119 0.0504 0.1882 0.4254 0.0466 65 7 16.4567 0.2260
10524 DESIXJ03050764-0630155 46.281823 -6.504298 0.0875 0.9759 0.7372 0.0298 160 4 15.8264 0.0439
12187 DESIXJ12035061+1433013 180.960889 14.550374 0.0030 0.5992 0.4638 0.0041 31 5 15.2820 0.1095
12549 DESIXJ07564182+2822191 119.174247 28.371978 0.0221 0.8701 0.4388 0.0104 47 4 16.6274 0.0387
13398 DESIXJ13571273+2806056 209.303033 28.101560 0.0551 0.8275 0.6973 0.0507 216 1 16.2913 0.0627
13817 DESIXJ12452042+1341335 191.335082 13.692653 0.0061 0.7430 0.6681 0.0010 103 26 13.3965 0.0744
13976 DESIXJ13515194+4026128 207.966430 40.436894 0.0906 0.3490 0.6946 0.0297 228 22 15.8308 0.1813

15106 DESIXJ15574133+1606029 239.422204 16.100797 0.0168 0.8100 0.5136 0.0126 132 15 15.4968 0.0546
15551 DESIXJ14470314+1222436 221.763104 12.378773 0.0821 0.3758 0.7353 0.0538 181 5 16.8862 0.1766
15844 DESIXJ14095960+5911339 212.498345 59.192755 0.0963 0.4393 0.5339 0.0336 82 12 15.7226 0.1564
16228 DESIXJ12352723+1245010 188.863467 12.750270 0.0025 0.9107 0.6387 0.0019 201 37 13.4663 0.0400
17369 DESIXJ09475539+6754365 146.980777 67.910126 0.0130 0.5092 0.4451 0.0109 43 6 16.7415 0.1367
18261 DESIXJ12051069+1112107 181.294525 11.202980 0.0611 0.5728 0.4142 0.0254 127 2 16.8191 0.1238
18280 DESIXJ23240206-0207118 351.008580 -2.119951 0.1079 0.4171 0.9280 0.0400 146 10 16.2530 0.1623
18317 DESIXJ10352777+1316093 158.865699 13.269244 0.0324 0.4921 0.7353 0.0540 35 11 15.7461 0.1453
