"SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration","SNIa calibration"
pgc,SNIa,objname,J2000,Glon,Glat,SGL,SGB,Typ,logD25,logR25,BT,IT,Ag,Vhel,Vcmb,VcmbSN,mu0U,emu0U,Cuts,mu0J,emu0J,NotesJ,Notes
%7s,%6s,%10s,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%2d,%5.3f,%5.3f,%5.2f,%5.2f,%4.2f,%5d,%5d,%5d,%5.2f,%4.2f,%5s,%6.3f,%5.3f,%7s,%40s
---,,,"hms,dms",deg,deg,deg,deg,,0.1arcmin,,mag,mag,mag,km/s,km/s,km/s,mag,mag,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","Galaxy name","RA, Dec; J2000","Galactic Longitude","Galactic Latitude","Supergalactic Longitude","Supergalactic Latitude","Morphological T type of host [RC3]","Log diameter at 25 mag/as^2 blue isophote [RC3]","Log ratio of major to minor axis at 25 mag/as^2 blue isophote [RC3]","Total B magnitude of host [RC3]","Total I magnitude of host [RC3]","Extinction at B band following Schlegel et al.","Host galaxy Heliocentric velocity","Host galaxy velocity in CMB rest frame","Supernova velocity in CMB rest frame","Union2 (2010) Distance Modulus assuming H0=74.2 km/s/Mpc","Error in Union2 distance modulus","Cuts: z=redshift<0.015; o=outlier; d=observations <5; f+bad light curve; p=first phase >6 days after B maximum","Jha et al. (2007) Distance Modulus assuming H0=65 km/s/Mpc","Error in Jha et al. distance modulus","Notes by Jha et al.","Notes by RBT"
250,2006sr,UGC00014,J000335.0+231203,108.8693,-38.3606,316.3211,17.6720,6,1.018,0.268,14.42,12.42,0.41,7253,6916,6895,34.34,0.18,,,,,good
415,2003it,UGC00040,J000548.4+272657,110.6598,-34.3328,320.8088,17.8681,4,1.029,0.207,15.10,12.84,0.31,7525,7198,7195,34.44,0.19,,,,,good
515,2002hw,UGC00052,J000649.5+083743,104.5597,-52.6445,301.6830,13.8439,5,1.110,0.124,14.84,,0.46,5255,4903,4887,33.70,0.21,,,,,good
963,1998dk,UGC00139,J001431.9-004416,102.8519,-62.1619,292.9641,9.5361,5,1.195,0.372,14.52,13.04,0.19,3961,3614,3598,32.64,0.28,"p,z",33.802,0.219,HF,"Jha, good"
1288,1999cw,PGC001288,J002000.1-062001,101.7529,-67.9034,287.9308,6.6463,2,1.177,0.375,14.29,12.99,0.16,3709,3370,,,,,33.363,0.141,Poorfit,"Jha, good"
3773,1998ef,UGC00646,J010326.4+321414,125.8793,-30.5657,328.1438,6.5752,3,1.219,0.415,14.78,12.52,0.32,5302,5011,5007,33.28,0.25,,34.142,0.105,HF,"Jha, good"
4915,2002jy,NGC0477,J012120.4+402918,129.0592,-22.0275,337.0973,5.2724,5,1.191,0.450,14.26,12.16,0.23,5857,5600,5606,34.31,0.19,,,,,good
5341,1998dm,PGC005341,J012614.5-060539,145.9709,-67.3957,292.6390,-9.1348,6,1.461,0.807,13.89,12.17,0.20,1961,1663,1679,32.34,0.44,"p,z",33.067,0.178,,"Jha, good"
6624,1996bo,NGC0673,J014822.5+113118,144.4573,-48.9559,311.3392,-9.4130,5,1.248,0.133,13.22,11.58,0.34,5183,4898,4887,33.27,0.21,,34.043,0.138,HF,"Jha, inc marg"
9618,1999gp,UGC01993,J023140.0+392242,143.2545,-19.5054,341.0890,-7.6319,3,1.253,0.693,14.48,,0.24,8018,7812,7795,34.63,0.11,,35.622,0.061,HF,"Jha, good"
10448,1995ak,IC1844,J024549.3+031352,169.6596,-48.9801,307.9549,-25.5647,4,0.975,0.412,15.08,,0.16,6810,6588,6596,34.12,0.19,,34.741,0.138,HF,"Jha, OK"
10948,2005ls,PGC010948,J025416.5+424334,145.7458,-14.6389,346.1684,-9.6658,4,0.873,0.174,14.96,,0.40,6348,6169,6146,33.87,0.18,,,,,"good, no dig HI"
10998,2006os,UGC02384,J025500.6+160044,161.3790,-37.4676,321.8721,-22.8265,4,0.964,0.443,15.21,13.00,0.63,9836,9626,9624,34.90,0.17,,,,,"good, no HI"
11606,1992bc,ESO300-009,J030515.8-393340,245.6969,-59.6393,258.8290,-34.8810,4,1.031,0.501,15.57,14.08,0.09,6045,5918,5876,33.86,0.18,,34.859,0.042,HF,"Jha, good"
11767,2005eq,PGC011767,J030848.3-070226,187.6387,-51.7392,298.5327,-34.0399,1,1.220,0.520,14.78,13.26,0.32,8702,8517,8514,34.84,0.17,,,,,"good, no HI"
