"5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa","5 Sources SNIa"
pgc,SNIa,l,b,SGL,SGB,Vhel,Vcmb,z,logz,Ns,DM5c,D5c,H5c,DM5u,D5u,H5u,DMu,eDMu,DMj,eDMj,DMp,eDMp,DMh,DMf,H0,logH0,SGX,SGY,SGZ
%7s,%6s,%8.4f,%8.4f,%8.4f,%8.4f,%5d,%5d,%6.4f,%7.4f,%1d,%5.2f,%5.1f,%5.1f,%5.2f,%5.1f,%5.1f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%5.2f,%5.1f,%6.4f,%6.1f,%6.1f,%6.1f
---,,deg,deg,deg,deg,km/s,km/s,,,,mag,Mpc,km/s/Mpc,mag,Mpc,km/s/Mpc,mag,mag,mag,mag,mag,mag,mag,mag,km/s/Mpc,,Mpc,Mpc,Mpc
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Heliocentric velocity","Velocity in CMB reference frame","Redshift, CMB reference frame","Log of redshift","Number of contributing sources","Distance modulus, all contributing sources, Cosmicflows-2 zero point","Distance, all contributing sources, Cosmicflows-2 zero point","Hubble parameter, no relativistic correction (Vcmb/D5c), all contributing sources, Cosmicflows-2 zero point","Distance modulus, all contributing sources, Union2 zero point","Distance, all contributing sources, Union2 zero point","Hubble parameter, no relativistic correction (Vcmb/D5c), all contributing sources, Union2 zero point","Distance modulus from Union2 (Amanullah et al. 2010), Union2 zero point","Error in distance modulus from Union2","Distance modulus from Jha et al. (2007), Union2 zero point","Error in distance modulus from Jha et al.","Distance modulus from Prieto et al. (2006), Union2 zero point","Error in distance modulus from Prieto et al.","Distance modulus from Hicken et al. (2009), Union2 zero point","Distance modulus from Folatelli et al. (2010), Union2 zero point","Relativistic Hubble parameter, Eq. 1 Courtois & Tully (2012), all contributing sources, Cosmicflows-2 zero point","Log relativistic Hubble parameter, all contributing sources, Cosmicflows-2 zero point","Distance projected onto Supergalactic X axis","Distance projected onto Supergalactic Y axis","Distance projected onto Supergalactic Z axis"
250,2006sr,108.8693,-38.3606,316.3211,17.6720,7254,6895,0.0230,-1.6383,2,34.90,95.5,72.2,34.34,73.9,93.3,34.34,0.18,0.00,0.00,0.00,0.00,34.35,0.00,73.6,1.8666,65.8,-62.8,29.0
415,2003it,110.6599,-34.3326,320.8091,17.8681,7529,7195,0.0240,-1.6198,2,35.02,100.9,71.3,34.46,78.2,92.1,34.44,0.19,0.00,0.00,0.00,0.00,34.49,0.00,72.7,1.8614,74.4,-60.7,31.0
515,2002hw,104.5597,-52.6442,301.6832,13.8441,5255,4887,0.0163,-1.7878,2,34.25,70.8,69.1,33.69,54.7,89.3,33.70,0.21,0.00,0.00,0.00,0.00,33.68,0.00,70.0,1.8448,36.1,-58.5,16.9
963,1998dk,102.8516,-62.1619,292.9640,9.5362,3961,3598,0.0120,-1.9208,3,33.31,45.9,78.4,32.75,35.5,101.4,32.64,0.28,32.87,0.22,32.74,0.05,0.00,0.00,79.1,1.8983,17.7,-41.7,7.6
1288,1999cw,101.7526,-67.9034,287.9307,6.6464,3709,3370,0.0112,-1.9492,2,33.09,41.5,81.3,32.53,32.1,105.0,0.00,0.00,32.43,0.14,32.63,0.12,0.00,0.00,81.7,1.9121,12.7,-39.2,4.8
1583,1997cw,113.0916,-49.4875,307.0273,10.4740,5185,4797,0.0160,-1.7959,3,33.80,57.5,83.4,33.24,44.4,108.0,33.42,0.25,33.14,0.15,33.15,0.06,0.00,0.00,84.5,1.9266,34.1,-45.2,10.5
2332,2006ej,113.1370,-71.6495,286.6886,1.3725,6130,5756,0.0192,-1.7167,2,34.57,82.0,70.2,34.01,63.3,90.9,34.00,0.19,0.00,0.00,0.00,0.00,34.01,0.00,71.3,1.8529,23.5,-78.5,2.0
2501,2003ic,115.2368,-72.0315,286.6054,0.6194,16699,16369,0.0546,-1.2628,2,36.44,194.0,84.4,35.88,149.8,109.3,35.88,0.17,0.00,0.00,0.00,0.00,35.87,0.00,88.0,1.9444,55.4,-185.9,2.1
2559,2006et,93.6738,-85.9304,272.9467,-3.5015,6684,6356,0.0212,-1.6736,2,34.64,84.7,75.1,34.08,65.6,96.9,34.11,0.18,0.00,0.00,0.00,0.00,34.06,0.00,76.3,1.8826,4.3,-84.4,-5.2
2726,2006mo,121.8531,-26.5303,331.3857,10.8785,11148,10793,0.0360,-1.4437,2,35.98,157.0,68.8,35.42,121.3,89.0,35.41,0.17,0.00,0.00,0.00,0.00,35.42,0.00,70.7,1.8495,135.3,-73.8,29.6
2819,1998de,122.0062,-35.2418,322.8199,8.7170,4951,4641,0.0155,-1.8102,2,34.08,65.4,70.9,33.52,50.6,91.7,0.00,0.00,33.47,0.08,0.00,0.00,33.57,0.00,71.9,1.8567,51.5,-39.1,9.9
3508,1999ef,125.7106,-50.0840,308.9798,2.5480,11653,11392,0.0380,-1.4202,4,36.20,173.7,65.6,35.64,134.4,84.7,35.53,0.22,35.72,0.11,35.70,0.04,35.62,0.00,67.5,1.8296,109.1,-134.9,7.7
3773,1998ef,125.8792,-30.5657,328.1438,6.5753,5302,5007,0.0167,-1.7773,4,33.80,57.5,87.1,33.24,44.6,112.4,33.28,0.25,33.21,0.10,33.27,0.11,33.22,0.00,88.2,1.9455,48.5,-30.2,6.6
3981,2000dk,126.8360,-30.3467,328.5194,5.8080,5222,4917,0.0164,-1.7851,4,34.04,64.2,76.5,33.48,49.7,98.9,33.45,0.25,33.47,0.08,33.53,0.01,33.48,0.00,77.5,1.8895,54.5,-33.4,6.5
