"LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13"
pgc,SNIa,1PGC,Nest,RA,Dec,z3k,B,eB,x1,ex1,c,ec,mu,emu,Sample,Ref
%7s,%9s,%7d,%6d,%11s,%11s,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5s,%2d
---,,,,hms,dms,,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Right ascension J2000","Declination J2000","Redshift in CMB frame","B magnitude at maximum","Error in B magnitude at maximum","SALT2 light curve width x1 parameter","Error in SALT2 x1 parameter","SALT2 color c parameter","Error in SALT2 c parameter","Distance modulus","Error in distance modulus","LOSS sample","LOSS reference code"
250,"SN 2006sr",250,208532,"00 03 35.02","+23 11 46.2",0.023,16.123,0.030,-1.220,0.142,-0.020,0.029,35.070,0.170,Low-z,5
465,"SN 2000dg",616,200076,"00 06 13.81","+08 53 17.5",0.037,16.989,0.068,-1.442,0.420,-0.057,0.045,36.021,0.183,Low-z,2
515,"SN 2002hw",515,210067,"00 06 49.06","+08 37 48.5",0.016,16.646,0.038,-1.849,0.203,0.377,0.034,34.245,0.199,Low-z,5
2332,"SN 2006ej",2331,202847,"00 38 59.77","-09 00 56.6",0.019,15.743,0.031,-1.583,0.116,-0.035,0.030,34.683,0.182,Low-z,2
2559,"SN 2006et",2559,201302,"00 42 45.82","-23 33 30.4",0.021,15.950,0.034,0.812,0.170,0.110,0.030,34.781,0.177,Low-z,5
2726,"SN 2006mo",2720,202213,"00 46 38.55","+36 19 57.8",0.036,17.415,0.042,-2.054,0.156,0.021,0.035,36.110,0.162,Low-z,5
3508,"SN 1999ef",3513,200676,"00 58 46.20","+12 44 45.0",0.038,17.092,0.060,0.252,0.205,-0.037,0.033,36.309,0.156,Low-z,1
3681,"SN 2000dr",3681,208582,"01 01 44.04","-15 34 09.1",0.018,15.979,0.031,-2.414,0.122,0.061,0.030,34.494,0.188,Low-z,2
3773,"SN 1998ef",4224,200005,"01 03 26.87","+32 14 12.4",0.017,14.854,0.028,-0.875,0.075,-0.011,0.028,33.824,0.190,Low-z,8
3981,"SN 2000dk",4224,200005,"01 07 23.52","+32 24 23.2",0.016,15.301,0.031,-2.249,0.141,-0.057,0.030,34.215,0.194,Low-z,1
4915,"SN 2002jy",4915,202549,"01 21 16.27","+40 29 55.3",0.019,15.734,0.033,0.919,0.160,-0.043,0.029,35.066,0.184,Low-z,5
4972,"SN 1992bo",4731,202649,"01 21 58.44","-34 12 43.5",0.018,15.753,0.032,-1.977,0.098,-0.049,0.030,34.681,0.187,Low-z,6
5037,"SN 1999ej",5098,200006,"01 22 57.38","+33 27 58.0",0.013,15.378,0.029,-1.723,0.087,-0.018,0.028,34.244,0.219,Low-z,2
5268,"SN 2001en",5098,200006,"01 25 22.90","+34 01 30.5",0.015,15.027,0.028,-0.763,0.054,-0.035,0.026,34.088,0.199,Low-z,2
6056,"SN 2001eh",6056,205176,"01 38 12.10","+41 39 18.8",0.036,16.623,0.025,1.719,0.133,-0.034,0.026,36.042,0.150,Low-z,2
6888,"SN 2006ob",6888,203564,"01 51 48.50","+00 15 49.8",0.058,18.221,0.032,-2.175,0.195,-0.020,0.033,37.028,0.155,Low-z,5
7299,"SN 2005hc",138483,204897,"01 56 47.97","-00 12 48.6",0.046,17.307,0.031,0.721,0.061,-0.033,0.029,36.570,0.130,SDSS,11
7657,"SN 2004fz",7584,200140,"02 01 06.41","+31 52 44.2",0.016,14.898,0.027,-1.170,0.088,-0.037,0.025,33.905,0.188,Low-z,2
7889,"SN 2006ef",7889,210341,"02 04 19.51","-08 43 42.2",0.017,15.515,0.029,-1.461,0.091,-0.038,0.028,34.481,0.188,Low-z,2
8334,"SN 2005lz",8327,200177,"02 10 49.76","+34 58 58.2",0.040,17.612,0.032,-1.055,0.144,0.060,0.031,36.329,0.155,Low-z,5
