"Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa"
pgc,objname,J2000,Typ,Imag,logD25,Inc,Vhel,SNIa,Vcmb,mB0,emB0,X1,eX1,C,eC,mu0,emu0,Samp,Cuts
%7s,%10s,%16s,%2d,%5s,%5.3f,%2d,%5d,%6s,%5d,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%3d,%5s
---,,"hms,dms",,mag,0.1arcmin,deg,km/s,,km/s,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","RA, Dec; J2000","Morphological T type of host [RC3]","I magnitude of host [RC3]","Log diameter at 25 mag/as^2 blue isophote [RC3]","Inclination from face on [RC3]","Host galaxy Heliocentric velocity","Supernova name","Supernova velocity in CMB","Apparent magnitude in B of SNIa at maximum","Error in SNIa B apparent magnitude at maximum","SALT2 parameter X1","Error in SALT2 parameter X1","SALT2 parameter C","Error in SALT2 parameter C","Union2 distance modulus; 2 SNIa averaged in 4 cases (PGSs 6007, 27351, 48860, 50323)","Error in distance modulus","Sample: 1-17; see Amanullah et al.","Cuts: z=redshift<0.015; o=outlier; d=observations <5; f+bad light curve; p=first phase >6 days after B maximum"
250,UGC00014,J000335.0+231203,6,12.42,1.018,59,7254,2006sr,6895,16.11,0.10,-1.51,0.23,0.07,0.01,34.34,0.18,6,
415,UGC00040,J000548.4+272658,4,12.84,1.029,54,7529,2003it,7195,16.32,0.10,-1.82,0.37,0.10,0.03,34.44,0.19,6,
515,UGC00052,J000649.5+083743,5,,1.110,42,5255,2002hw,4887,16.66,0.14,-2.30,0.27,0.50,0.03,33.70,0.21,6,
963,UGC00139,J001431.9-004416,5,13.04,1.195,67,3961,1998dk,3598,14.86,0.20,-0.30,0.55,0.26,0.05,32.64,0.28,4,"p,z"
1583,NGC0105,J002516.8+125302,2,,0.909,39,5185,1997cw,4797,15.87,0.15,0.79,0.25,0.40,0.03,33.42,0.25,4,p
2332,IC1563,J003900.2-090052,-2,13.05,0.945,90,6130,2006ej,5756,15.74,0.12,-1.56,0.16,0.05,0.02,34.00,0.19,6,
