"CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18","CSP1 Burns18"
pgc,SNIa,1PGC,Nest,muCV,emu,zh,z3k,sBV,esBV,Dm15,eDm15,Vmax,eVmax,EBV,eEBV,Rv,eRv,covER,Q,RA,Dec,glon,glat,sgl,sgb
%7s,%6s,%7d,%6d,%5.2f,%4.2f,%7.4f,%7.4f,%5.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%3.1f,%3.1f,%7.4f,%4.2f,%8.4f,%8.4f,%8.4f,%8.4f,%8.4f,%8.4f
---,,,,mag,mag,,,,,mag,mag,mag,mag,mag,mag,,,,,deg,deg,deg,deg,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant member of group","Nest ID in 2MASS group catalog by Tully(2015)","Cross-validated distance modulus (Riess16 zero point)","Error in distance modulus","Heliocentric redshift","Redshift in CMB frame","Color stretch parameter","Error in color stretch parameter","Delta_m15_(B) parameter","Error in delta_m15_(B) parameter","V magnitude at maximum","Error in V magnitude at maximum","B-V color excess","Error in B-V color excess","Reddening slope","Error in reddening slope","Covariance between E(B-V) and Rv","Quality parameter","Right ascension in degrees (J2000)","Declination in degrees (2000)","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude"
282,2008hj,0,0,36.11,0.04,0.0379,0.0367,1.010,0.031,0.964,0.061,16.780,0.005,0.060,0.016,0.4,1.0,-0.0072,0.97,1.0080,-11.1687,85.2573,-70.7713,281.8123,8.8821
1583,2007A,1583,210125,34.20,0.06,0.0176,0.0165,1.012,0.032,0.954,0.063,15.505,0.007,0.265,0.020,2.5,0.3,-0.0053,0.97,6.3194,12.8868,113.0917,-49.4843,307.0303,10.4751
2332,2006ej,2331,202847,34.67,0.06,0.0204,0.0193,0.829,0.035,1.368,0.070,15.697,0.038,0.067,0.022,1.9,1.1,-0.0102,0.97,9.7490,-9.0157,113.1135,-71.6864,286.6520,1.3636
2559,2006et,2559,201302,34.66,0.05,0.0222,0.0212,1.093,0.031,0.887,0.061,15.818,0.006,0.232,0.015,2.4,0.3,-0.0026,0.95,10.6909,-23.5584,85.8379,-86.7274,272.0395,-3.7542
3444,2007nq,3342,200043,36.19,0.04,0.0450,0.0439,0.745,0.030,1.491,0.061,17.370,0.007,0.052,0.013,2.8,1.2,-0.0037,0.94,14.3900,-1.3887,126.5363,-64.8731,294.6544,-1.1653
4861,2008gl,4861,201759,35.88,0.04,0.0340,0.0330,0.851,0.030,1.326,0.060,16.774,0.004,0.090,0.014,0.3,0.8,-0.0037,0.97,20.2284,4.8053,136.6097,-57.2816,302.8505,-4.9040
5269,2008gg,5269,207592,35.69,0.05,0.0320,0.0311,1.114,0.040,0.876,0.072,16.415,0.038,0.152,0.029,1.3,0.6,-0.0100,0.98,21.3460,-18.1724,166.7709,-78.3407,280.3662,-11.9125
6642,2007st,6642,202973,34.36,0.06,0.0212,0.0207,0.774,0.037,1.428,0.081,15.668,0.050,0.153,0.027,2.0,0.6,-0.0094,0.77,27.1770,-48.6494,280.0126,-65.4215,249.3245,-20.5460
6793,2005W,6848,200365,32.82,0.15,0.0089,0.0080,0.923,0.031,1.111,0.062,14.034,0.006,0.232,0.019,1.9,0.6,-0.0041,0.97,27.6906,21.7599,140.7575,-39.0495,321.2990,-6.6013
6888,2006ob,6888,203564,37.00,0.04,0.0592,0.0583,0.725,0.032,1.512,0.062,18.165,0.015,0.062,0.017,2.0,1.0,-0.0044,0.98,27.9521,0.2639,153.3014,-59.0013,300.6298,-13.5837
7299,2005hc,138483,204897,36.64,0.04,0.0459,0.0450,1.193,0.031,0.875,0.061,17.305,0.004,0.037,0.017,2.4,1.2,-0.0004,0.96,29.1999,-0.2135,156.2213,-59.1650,300.1475,-15.0185
7741,2004dt,7741,202150,33.94,0.08,0.0197,0.0188,1.189,0.032,1.104,0.061,15.068,0.022,0.149,0.025,2.7,0.7,-0.0003,0.15,30.5514,-0.1006,158.1683,-58.2151,300.8533,-16.2284
7889,2006ef,7889,210341,34.49,0.08,0.0179,0.0170,0.837,0.036,1.355,0.071,15.414,0.048,0.030,0.023,1.7,1.3,-0.0018,0.97,31.0813,-8.7284,170.3378,-65.2164,291.8456,-19.0666
8223,2009le,8223,208090,34.60,0.07,0.0178,0.0170,1.156,0.037,1.023,0.070,15.231,0.006,0.170,0.017,0.5,0.6,-0.0023,0.95,32.3214,-23.4124,207.5155,-72.2132,276.4705,-22.9788
9560,2005A,9560,202337,34.37,0.07,0.0191,0.0183,0.963,0.032,1.057,0.064,17.117,0.015,1.165,0.021,1.7,0.1,-0.0013,0.97,37.6802,-2.9388,172.7871,-56.7757,299.2758,-24.0597
9874,2005lu,0,0,35.86,0.07,0.0320,0.0313,1.130,0.045,0.844,0.074,17.054,0.043,0.285,0.033,2.1,0.6,-0.0083,0.96,39.0155,-17.2639,197.1107,-64.1232,284.4613,-28.2765
9988,2009ig,9988,211363,32.66,0.13,0.0088,0.0080,1.108,0.034,0.844,0.062,13.370,0.008,0.086,0.016,1.9,0.7,-0.0027,0.96,39.5484,-1.3126,172.7948,-54.0415,301.9562,-25.3024
10416,2009I,10416,208220,34.92,0.05,0.0262,0.0254,1.064,0.036,0.810,0.065,17.538,0.012,0.758,0.019,2.6,0.1,-0.0017,0.90,41.2933,-4.7137,179.0981,-55.1933,298.8196,-27.9049
10998,2006os,11105,200046,35.61,0.05,0.0328,0.0321,0.920,0.038,1.048,0.077,17.280,0.042,0.419,0.039,2.1,0.4,-0.0109,0.97,43.7542,16.0097,161.3829,-37.4687,321.8703,-22.8293
11470,2008fu,0,0,36.73,0.04,0.0524,0.0518,0.822,0.037,1.402,0.074,17.705,0.050,0.022,0.018,1.8,1.3,-0.0021,0.98,45.6188,-24.4560,216.7111,-60.6203,276.3685,-35.1082
11545,2008R,11545,200775,33.76,0.08,0.0135,0.0129,0.593,0.030,1.630,0.061,15.140,0.006,0.030,0.018,1.4,1.2,-0.0060,0.97,45.9738,-11.9943,195.0268,-55.9848,291.1941,-34.1248
11767,2005eq,11767,202582,35.40,0.04,0.0290,0.0284,1.122,0.032,0.813,0.060,16.241,0.006,0.109,0.017,2.4,0.6,-0.0054,0.98,47.2055,-7.0332,187.7321,-51.7758,298.4540,-34.0606
12241,2006gj,12237,200499,35.48,0.05,0.0283,0.0278,0.657,0.031,1.560,0.061,17.363,0.008,0.279,0.021,2.4,0.4,-0.0054,0.97,49.3992,-1.6917,183.7675,-47.0532,304.9128,-34.8166
12626,2002fk,12626,211466,32.45,0.16,0.0071,0.0066,0.979,0.030,1.044,0.079,13.269,0.006,0.030,0.011,2.6,1.2,-0.0024,0.98,50.5238,-15.4009,203.2218,-53.4382,288.2623,-38.9525
12651,2006mr,12651,200015,31.37,0.17,0.0059,0.0055,0.245,0.030,1.904,0.060,14.599,0.020,0.025,0.035,2.0,1.3,0.0084,0.88,50.6785,-37.2079,240.8073,-56.6443,260.5943,-38.5708
12669,2008gp,12669,202268,35.71,0.04,0.0334,0.0328,0.973,0.030,1.020,0.060,16.443,0.006,0.030,0.018,1.4,1.3,-0.0079,0.98,50.7530,1.3619,181.1198,-43.7330,309.5486,-34.9405
13179,2012fr,13418,200015,31.28,0.19,0.0055,0.0051,1.116,0.030,0.844,0.060,11.951,0.004,0.039,0.014,2.0,1.1,-0.0036,0.98,53.4000,-36.1271,238.3232,-54.5874,261.6201,-40.9320
13255,2005ke,13419,200100,31.86,0.19,0.0049,0.0045,0.418,0.030,1.691,0.061,14.140,0.008,0.317,0.025,1.0,0.2,-0.0012,0.98,53.7681,-24.9441,220.4844,-53.5283,275.5432,-42.4598
13297,2007jh,13297,205178,36.23,0.07,0.0408,0.0403,0.584,0.035,1.811,0.062,18.012,0.019,0.219,0.031,2.0,0.7,-0.0073,0.98,54.0066,1.1047,184.2128,-41.3963,310.6779,-38.0748
13433,2007on,13418,200015,31.49,0.14,0.0065,0.0062,0.574,0.030,1.673,0.061,12.915,0.006,0.007,0.010,2.0,1.4,0.0020,0.86,54.7121,-35.5750,238.5484,-53.5235,261.0885,-41.9273
13580,2006kf,13580,207788,34.80,0.05,0.0213,0.0208,0.733,0.030,1.503,0.061,15.942,0.005,0.045,0.024,1.8,1.2,-0.0088,0.98,55.4603,8.1569,178.5472,-35.7170,319.5295,-36.5532
13727,2001el,13727,201169,31.26,0.27,0.0039,0.0037,0.952,0.031,1.052,0.061,12.653,0.006,0.291,0.016,2.2,0.3,-0.0029,0.98,56.1275,-44.6398,252.1578,-51.3109,249.8268,-40.5399
14075,2009D,14075,209403,35.09,0.05,0.0250,0.0247,1.185,0.031,0.897,0.060,15.777,0.004,0.035,0.017,2.1,1.2,-0.0016,0.98,58.5951,-19.1817,212.6846,-47.5415,284.5069,-46.9073
14779,2009ab,14880,200059,33.53,0.09,0.0112,0.0109,0.874,0.030,1.272,0.061,14.663,0.006,0.121,0.025,2.2,0.6,-0.0092,0.97,64.1516,2.7642,190.1263,-32.2703,318.2599,-46.7014
16488,2009F,16493,200206,33.69,0.08,0.0130,0.0129,0.328,0.031,1.882,0.060,16.373,0.013,0.101,0.035,1.6,0.9,-0.0101,0.97,74.8482,-11.1306,210.6403,-29.9742,301.6044,-61.5870
16595,2006hb,16595,210457,34.08,0.07,0.0153,0.0153,0.673,0.035,1.584,0.069,15.373,0.036,0.094,0.024,1.8,0.7,-0.0081,0.97,75.5053,-21.1320,221.8077,-33.1595,280.1790,-62.6675
16650,2009ad,16650,208442,35.33,0.04,0.0284,0.0283,1.015,0.031,0.959,0.061,16.161,0.006,0.083,0.018,2.0,0.6,-0.0056,0.97,75.8891,6.6599,193.7114,-20.3667,333.4159,-54.4776
16899,2005el,16899,202615,34.04,0.07,0.0149,0.0149,0.838,0.030,1.352,0.060,14.943,0.007,0.007,0.008,1.5,1.4,-0.0031,0.97,77.9532,5.1942,196.1843,-19.3892,333.7256,-56.9942
17176,2004gc,75312,200017,35.38,0.09,0.0321,0.0321,0.923,0.038,1.079,0.076,16.576,0.046,0.226,0.051,1.9,0.8,-0.0095,0.93,80.4574,6.6767,196.1986,-16.4908,338.8686,-57.8534
19423,2008bq,19386,200125,35.74,0.05,0.0340,0.0344,1.155,0.031,0.919,0.061,16.670,0.005,0.127,0.022,2.5,0.9,-0.0110,0.97,100.2605,-38.0386,247.0739,-18.2507,213.6137,-67.3880
19913,2008C,19913,110686,34.28,0.07,0.0166,0.0171,0.953,0.039,1.060,0.078,15.470,0.045,0.244,0.034,1.8,0.5,-0.0117,0.97,104.2980,20.4371,195.1720,10.3791,27.3147,-53.8499
19925,2008O,19925,201306,36.26,0.04,0.0388,0.0393,0.654,0.032,1.617,0.061,17.828,0.011,0.310,0.025,1.2,0.3,-0.0049,0.97,104.3936,-45.8123,256.4865,-18.3259,205.5908,-59.1929
20020,2005na,20020,101998,35.08,0.05,0.0263,0.0268,0.958,0.031,1.030,0.061,16.006,0.006,0.071,0.016,2.5,0.9,-0.0069,0.94,105.4026,14.1333,201.3981,8.6060,29.6600,-60.1133
20363,2009ag,20363,202956,33.10,0.10,0.0086,0.0093,0.962,0.031,1.049,0.062,14.434,0.009,0.286,0.039,2.0,0.5,-0.0153,0.97,107.9200,-26.6851,239.4488,-7.9532,188.4842,-77.9048
20551,2008fp,20551,211206,31.72,0.14,0.0057,0.0063,1.082,0.031,0.807,0.060,13.472,0.005,0.518,0.034,2.2,0.3,-0.0070,0.89,109.1358,-29.3255,242.3782,-8.2087,188.1432,-74.9943
21373,2015F,21373,200281,31.23,0.18,0.0049,0.0053,0.847,0.030,1.303,0.060,12.663,0.006,0.203,0.075,2.3,0.6,-0.0068,0.69,114.0657,-69.5064,282.1300,-21.7961,202.2384,-34.9856
22884,2008hu,22884,102621,36.80,0.04,0.0497,0.0505,0.785,0.031,1.445,0.062,17.819,0.012,0.048,0.020,1.6,1.2,-0.0080,0.98,122.3115,-18.6536,238.9274,7.5266,129.9523,-71.9824
23498,2007ax,23498,103148,32.78,0.12,0.0069,0.0076,0.354,0.032,1.932,0.060,15.507,0.021,0.247,0.034,1.5,0.5,-0.0068,0.97,125.6803,22.5547,201.1183,29.5828,56.2895,-46.1257
23700,2005mc,23700,108151,35.22,0.09,0.0252,0.0260,0.640,0.039,1.613,0.071,16.920,0.040,0.253,0.035,1.9,0.7,-0.0045,0.98,126.7765,21.6460,202.4978,30.2365,58.2319,-46.3545
23918,2007bd,23918,107120,35.66,0.04,0.0310,0.0319,0.882,0.030,1.274,0.062,16.559,0.008,0.065,0.015,1.0,0.9,-0.0060,0.98,127.8870,-1.1978,226.3878,21.3548,88.0313,-62.3084
24156,2008bi,24156,108573,34.05,0.08,0.0134,0.0144,0.480,0.040,1.977,0.073,16.426,0.071,0.297,0.048,2.3,0.6,-0.0193,0.97,128.9725,0.7064,224.8626,23.4105,85.3709,-60.1688
24286,2004gs,24286,108410,35.49,0.05,0.0266,0.0275,0.689,0.030,1.557,0.060,16.969,0.005,0.190,0.014,1.9,0.4,-0.0027,0.98,129.5994,17.6313,207.9600,31.3153,64.8709,-48.0436
24848,2008ia,24848,207260,34.85,0.05,0.0220,0.0226,0.841,0.030,1.341,0.060,15.911,0.006,0.064,0.024,2.2,1.1,-0.0112,0.97,132.6465,-61.2779,278.1917,-11.0979,189.1905,-39.5941
25646,2008hv,25646,109285,33.88,0.07,0.0125,0.0136,0.846,0.030,1.329,0.060,14.766,0.005,0.015,0.011,1.1,1.4,-0.0057,0.97,136.8919,3.3923,226.6596,31.6146,89.0160,-52.0593
26089,2009cz,26013,100196,34.90,0.05,0.0211,0.0220,1.189,0.032,0.893,0.062,15.687,0.007,0.072,0.018,2.4,0.9,-0.0046,0.98,138.7501,29.7353,196.3619,42.7821,63.0709,-33.3990
26151,2005am,26151,102979,32.45,0.10,0.0079,0.0090,0.725,0.030,1.490,0.060,13.619,0.004,0.078,0.016,1.1,0.8,-0.0060,0.84,139.0520,-16.3044,246.6391,21.7814,123.3683,-56.1409
26840,2007as,26840,210837,34.44,0.06,0.0176,0.0179,0.884,0.030,1.179,0.060,15.391,0.005,0.118,0.026,1.4,0.6,-0.0106,0.98,141.9000,-80.1776,295.0345,-20.9214,200.0803,-23.0868
27404,2005M,27385,101363,35.19,0.05,0.0220,0.0230,1.208,0.030,0.796,0.060,15.907,0.002,0.055,0.020,2.0,1.0,-0.0028,0.98,144.3865,23.2028,206.8934,46.2171,72.9434,-34.3880
28357,1995al,28357,102672,32.29,0.23,0.0050,0.0059,1.126,0.034,0.891,0.061,13.213,0.008,0.182,0.017,2.0,0.7,-0.0031,0.94,147.7332,33.5526,192.1793,50.8346,66.2564,-25.3185
28949,2007S,28964,102043,33.70,0.07,0.0139,0.0150,1.114,0.031,0.796,0.061,15.408,0.008,0.475,0.017,2.3,0.1,-0.0017,0.88,150.1302,4.4073,234.3644,43.3825,96.6241,-39.8949
30868,2008fw,30785,100215,33.09,0.10,0.0085,0.0095,1.113,0.038,0.844,0.070,13.939,0.036,0.114,0.025,2.3,0.6,-0.0089,0.97,157.2332,-44.6654,278.1950,10.8005,161.5157,-36.5912
31768,2005ki,31768,106932,34.67,0.05,0.0192,0.0204,0.825,0.030,1.359,0.060,15.597,0.004,0.017,0.011,1.4,1.3,-0.0039,0.97,160.1181,9.1825,236.8320,54.2684,96.2954,-28.8935
32207,1994ae,32207,112647,32.09,0.26,0.0040,0.0051,1.046,0.031,0.918,0.061,13.073,0.008,0.187,0.018,1.7,0.7,-0.0042,0.98,161.7581,17.2752,225.3412,59.6654,88.8786,-23.9949
32466,2008bt,32479,100324,34.25,0.07,0.0154,0.0166,0.470,0.031,1.815,0.061,16.254,0.008,0.251,0.025,1.1,0.4,-0.0037,0.97,162.5708,-12.1088,262.3032,40.8202,121.1122,-33.0029
32555,2009al,32559,100710,34.83,0.06,0.0221,0.0233,1.174,0.050,0.674,0.063,16.021,0.047,0.206,0.031,2.7,0.6,-0.0107,0.96,162.8420,8.5785,240.4451,56.1001,98.1162,-26.6548
32694,2012ht,32787,0,32.08,0.18,0.0036,0.0047,0.853,0.030,1.194,0.060,12.995,0.006,0.034,0.011,2.1,1.1,-0.0041,0.96,163.3448,16.7764,227.5519,60.8262,90.0962,-22.8536
