"Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa"
pgc,SNIa,zcmb,ez,S_Bmag,S_eB,S_s,S_es,S_c,S_ec,S_mu0,S_emu0,S2_Bmag,S2_eB,S2_s,S2_es,S2_c,S2_ec,S2_mu0,S2_emu0,M31_Del,M31_eD,M31_AV,M31_eAV,M31_mu0,M31_emu0,M17_Del,M17_eD,M17_AV,M17_eAV,M17_mu0,M17_emu0
%7s,%6s,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f
---,,,,mag,mag,,,,,mag,mag,mag,mag,,,,,mag,mag,,,mag,mag,mag,mag,,,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Supernova redshift in CMB frame","Error in supernova redshift","SALT: Apparent B magnitude","SALT: Error in B magnitude","SALT: Light curve stretch parameter","SALT: Error in stretch parameter","SALT: Color parameter","SALT: Error in color parameter","SALT: Distance modulus + 5 log H0/65","SALT: Error in distance modulus","SALT2: Apparent B magnitude","SALT2: Error in B magnitude","SALT2: Light curve stretch parameter","SALT2: Error in stretch parameter","SALT2: Color parameter","SALT2: Error in color parameter","SALT2: Distance modulus + 5 log H0/65","SALT2: Error in distance modulus","MLCS31: Light curve shape parameter","MLCS31: Error in light curve shape parameter","MLCS31: Host galaxy extinction parameter in V band","MLCS31: Error in extinction parameter","MLCS31: Distance modulus + 5 log H0/65","MLCS31: Error in distance modulus","MLCS17: Light curve shape parameter","MLCS17: Error in light curve shape parameter","MLCS17: Host galaxy extinction parameter in V band","MLCS17: Error in extinction parameter","MLCS17: Distance modulus + 5 log H0/65","MLCS17: Error in distance modulus"
250,sn06sr,0.023,0.001,16.118,0.138,0.835,0.009,0.041,0.006,35.272,0.185,16.120,0.015,-1.628,0.209,0.061,0.013,35.241,0.204,0.178,0.081,0.236,0.122,35.282,0.192,0.187,0.086,0.085,0.053,35.279,0.177
415,2003it,0.024,0.001,16.351,0.139,0.817,0.013,0.089,0.012,35.358,0.185,16.334,0.025,-1.738,0.341,0.086,0.027,35.383,0.212,0.401,0.110,0.252,0.120,35.248,0.188,0.374,0.109,0.083,0.055,35.282,0.187
515,2002hw,0.016,0.001,,,,,,,,,16.681,0.031,-2.245,0.255,0.531,0.026,34.574,0.245,0.741,0.095,1.031,0.159,34.037,0.216,0.704,0.108,0.605,0.099,34.330,0.212
2332,sn06ej,0.019,0.001,15.706,0.138,0.819,0.006,-0.006,0.007,34.962,0.202,15.747,0.034,-1.552,0.162,0.048,0.026,34.910,0.227,0.190,0.078,0.095,0.067,34.974,0.196,0.181,0.087,0.037,0.031,34.858,0.202
2501,sn03ic,0.054,0.001,17.640,0.139,0.738,0.023,0.036,0.015,36.685,0.157,17.630,0.026,-2.497,0.319,0.018,0.027,36.769,0.184,0.248,0.130,0.152,0.116,36.763,0.170,0.171,0.134,0.046,0.045,36.776,0.158
2559,2006et,0.021,0.001,15.937,0.139,1.106,0.014,0.156,0.010,35.128,0.193,15.942,0.025,0.626,0.226,0.201,0.020,34.951,0.214,-0.225,0.074,0.474,0.139,35.032,0.217,-0.233,0.078,0.328,0.074,35.065,0.192
