"de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII","de Jaeger SNII"
pgc,1PGC,Nest,SNII,DM,eDM,Vhel,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,Host,So
%7s,%7d,%6d,%10s,%5.2f,%4.2f,%5d,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4.1f,%5.3f,%24s,%3s
---,,,,mag,mag,km/s,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Heliocentric velocity in de Jaeger table","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Host name","Source of ID"
2667,0,0,SN2008gr,34.66,0.33,6831,6549,6831,J004532.4-263355,11.384500,-26.572300,55.7606,-88.5691,270.2095,-4.9044,4.8,0.062,IC1579,Ned
5411,5271,201212,SN2007il,34.64,0.33,6454,6146,6437,J012709.5+144635,21.790600,14.779600,135.6967,-47.2082,312.8683,-3.5009,4.9,0.204,IC1704,Ned
5974,5974,212146,SN2013ej,29.80,0.97,657,359,658,J013641.8+154700,24.200700,15.758600,138.6172,-45.7054,314.5299,-5.3880,5.2,0.304,NGC628,Ned
6180,6161,201134,SN2008hg,34.75,0.35,5684,5449,5681,J014021.6-285446,25.093300,-28.918100,225.1639,-79.0619,270.4382,-17.2497,3.9,0.080,IC1720,Ned
6624,6415,200166,SN2001fa,34.28,0.35,5182,4893,5183,J014822.5+113118,27.092600,11.526200,144.4573,-48.9559,311.3392,-9.4130,5.3,0.335,NGC0673,Ned
6826,6826,201167,SN2004fc,31.70,0.39,1831,1560,1846,J015104.0-094208,27.766000,-9.701900,164.6579,-67.6052,290.6224,-15.9850,5.0,0.109,NGC701,Ned
7525,7525,202901,03hl/03iq,32.44,0.36,2472,2198,2460,J015919.6+190027,29.833200,18.995000,144.3884,-41.0184,319.3856,-9.4320,3.1,0.314,NGC0772,Ned
7536,7536,209641,SN2006ee,33.65,0.34,4620,4343,4595,J015934.7+140030,29.897500,14.005400,146.9315,-45.6643,314.6292,-11.1931,-2.0,0.263,NGC774,Ned
9236,9236,212008,SN2009js,31.83,0.43,1507,1261,1508,J022550.8+182946,36.451200,18.490500,152.1609,-38.9581,321.2656,-15.4575,5.2,1.529,NGC918,Ned
9923,9923,211342,SN2004er,33.61,0.33,4411,4186,4421,J023658.6-052057,39.246000,-5.355500,176.7403,-56.7530,298.1245,-25.9585,5.0,0.111,MCG-01-7-24,Ned
10351,0,0,SN2008gi,34.46,0.33,7328,7103,7242,J024400.3+052548,41.001400,5.428600,167.0341,-47.5702,310.0736,-24.4019,5.6,0.285,CGCG415-004,Ned
10464,10464,200208,SN2012ec,31.75,0.43,1407,1195,1422,J024559.9-073443,41.499500,-7.574200,182.4810,-56.5545,296.3188,-28.6823,4.8,0.115,NGC1084,Ned
10890,10890,209880,SN2016fqr,33.86,0.36,3599,3413,3646,J025251.1+421218,43.212600,42.207100,145.7579,-15.2221,345.5790,-9.7183,3.0,0.382,NGC1122,Ned
13905,13814,200084,SN2013gd,33.23,0.38,4021,3893,4014,J034905.5-030338,57.273500,-3.057900,191.2579,-41.2362,306.9938,-42.5617,3.2,0.591,MCG-01-10-39,Ned
14412,0,0,SN2005dx,35.57,0.35,8012,7924,8110,J040429.7-175416,61.120200,-17.907600,211.7029,-44.7449,287.0759,-49.2176,4.4,0.103,MCG-03-11-9,Ned
14814,14814,211346,SN2009ib,31.99,0.42,1304,1305,1295,J041735.8-624701,64.416300,-62.777400,274.5105,-41.1982,227.3291,-35.5353,5.9,0.129,NGC1559,Ned
15821,15821,212042,SN1999em,30.28,0.59,717,670,716,J044128.2-025129,70.362700,-2.862600,199.5593,-30.0149,314.3764,-54.7151,5.0,0.175,NGC1637,Ned
16642,16642,209512,SN2017iit,33.78,0.36,5006,4978,5007,J050318.4+182709,75.834000,18.450800,183.4197,-13.8497,346.5647,-46.1465,3.0,2.551,UGC3232,Ned
16703,0,0,SN2007U,34.82,0.33,7791,7795,7792,J050508.2-185911,76.279700,-18.988900,219.4522,-31.6578,285.2920,-63.6030,2.5,0.228,ESO552-65,Ned
16875,16875,202423,SN2004fx,33.39,0.35,2673,2679,2670,J051107.9-092320,77.798600,-9.392100,210.0183,-26.5216,307.3384,-63.8980,5.1,0.446,MCG-02-14-3,Ned
