"Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa"
pgc,objname,SNIa,Glon,Glat,Vhel,Vlg,Vcmb,Typ,OffN,OffE,t1,Filt,E_B-V,Ref,t0,et0,mu0,emu0,Delta,eDel,AV0,eAV0,RV,eRV,mV0,emV0,Notes
%7s,%8s,%6s,%6.2f,%6.2f,%5d,%5d,%5d,%6s,%7.1f,%6.1f,%6.1f,%5s,%6.3f,%14s,%8.2f,%4.2f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%4.2f,%4.2f,%6.3f,%5.3f,%7s
---,,,deg,deg,km/s,km/s,km/s,,arcsec,arcsec,days,,mag,,HJD,days,mag,mag,,,mag,mag,,,mag,mag,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","Supernova name","Galactic longitude","Galactic latitude","Host galaxy Heliocentric velocity","Host galaxy velocity in Local Group frame","Host galaxy velocity in CMB","Morphological type of host","Dec offset of SN from host nucleus; North positive","RA offset of SN from host nucleus; East positive","Epoch of first photometric observation relative to B max light; SN rest frame",Filters,"Foreground reddening; Schlegel et al. (1998)","References in Table 1 of Jha et al. (2007)","Epoch of maximum light in B","Error in epoch of maximum light in B","True distance modulus + 5 log H0/65","Error in distance modulus","Luminosity/light-curve shape parameter","Error in luminosity/light-curve shape parameter","Host galaxy extinction in V band","Error in host galaxy extinction in V band","Ratio total to selective absorption AV/E(B-V); standard RV=3.1","Error in ratio total to selective absorption if different from standard","Apparent magnitude in V of SNIa at maximum","Error in SNIa V apparent magnitude at maximum","Notes: HF=Hubble flow sample"
963,U00139,1998dk,102.85,-62.16,3963,4128,3609,Sc,3.0,5.0,18.9,UBVRI,0.044,21,51056.58,1.48,33.802,0.219,-0.127,0.134,0.508,0.152,3.10,0.38,14.297,0.219,HF
1288,M-010201,1999cw,101.77,-67.91,3725,3863,3380,Sab,-2.0,21.0,24.0,UBVRI,0.036,21,51352.49,1.47,33.363,0.141,-0.306,0.067,0.161,0.073,3.10,,13.859,0.141,"Poor fi"
1583,N0105,1997cw,113.09,-49.48,5133,5342,4782,Sab,4.0,8.0,12.0,UBVRI,0.073,21,50630.75,0.98,34.075,0.151,-0.179,0.064,1.092,0.145,2.97,0.33,14.570,0.151,HF
2819,N0252,1998de,122.03,-35.24,4990,5228,4671,S0,3.0,72.0,-8.6,UBVRI,0.057,"21, 26",51026.69,0.17,34.400,0.082,1.448,0.036,0.398,0.101,3.10,,14.896,0.082,HF
3508,U00607,1999ef,125.72,-50.09,11733,11920,11402,Scd,-10.0,20.0,6.8,UBVRI,0.087,21,51457.78,1.27,36.657,0.111,-0.057,0.077,0.051,0.044,3.10,,17.153,0.111,HF
3773,U00646,1998ef,125.88,-30.56,5319,5558,5020,Sa,-2.0,6.0,-7.3,UBVRI,0.073,21,51113.99,0.22,34.142,0.105,0.269,0.083,0.046,0.044,3.10,,14.638,0.105,HF
