"Prieto SNIa","Prieto SNIa","Prieto SNIa","Prieto SNIa","Prieto SNIa","Prieto SNIa","Prieto SNIa","Prieto SNIa"
pgc,SNIa,z,mu0,emu0,E(B-V),eE(B-V),DelM15,eM15
%7s,%6s,%6.4f,%6.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f
---,,,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Supernova redshift","Distance modulus + 5 log H0/72","Error in distance modulus","Host galaxy color excess","Error in host galaxy color excess","15 day decay parameter","Error in 15 day decay parameter"
963,1998dk,0.0120,33.453,0.051,0.140,0.017,1.140,0.022
1288,1999cw,0.0113,33.349,0.124,0.010,0.042,0.830,0.020
1583,1997cw,0.0160,33.863,0.060,0.322,0.009,0.906,0.060
3508,1999ef,0.0380,36.417,0.044,0.000,0.010,1.065,0.015
3773,1998ef,0.0170,33.979,0.112,0.132,0.036,0.830,0.010
3981,2000dk,0.0164,34.246,0.013,0.004,0.006,1.690,0.010
4972,1992bo,0.0178,34.614,0.014,0.015,0.006,1.688,0.001
5037,1999ej,0.0128,34.197,0.043,0.051,0.017,1.534,0.029
5577,1993ae,0.0180,34.308,0.026,0.000,0.004,1.560,0.025
5673,1999dk,0.0141,34.157,0.056,0.000,0.020,0.830,0.010
6007,1998es,0.0096,32.885,0.016,0.076,0.006,0.917,0.007
6624,1996bo,0.0165,34.028,0.072,0.305,0.028,0.830,0.010
9618,1999gp,0.0260,35.280,0.032,0.034,0.010,0.832,0.010
9776,1999dq,0.0136,33.390,0.016,0.092,0.006,0.941,0.010
10448,1995ak,0.0219,34.398,0.066,0.208,0.021,1.303,0.017
11606,1992bc,0.0186,34.663,0.032,0.000,0.007,0.838,0.030
13652,1992bk,0.0580,36.977,0.040,0.018,0.015,1.677,0.010
15937,1995bd,0.0152,33.927,0.081,0.140,0.032,0.909,0.035
17509,1999ek,0.0176,34.268,0.070,0.157,0.027,1.058,0.034
17787,1993ac,0.0490,36.608,0.077,0.134,0.032,1.068,0.021
18747,1996bv,0.0167,33.897,0.036,0.190,0.014,0.940,0.019
19622,1997E,0.0132,33.871,0.032,0.054,0.012,1.514,0.024
19788,1998ec,0.0201,34.752,0.048,0.161,0.022,1.074,0.014
20136,2000B,0.0193,34.470,0.038,0.075,0.015,1.300,0.016
20513,2000fa,0.0218,34.925,0.029,0.063,0.011,1.049,0.016
21020,1997do,0.0104,33.508,0.064,0.081,0.022,0.830,0.020
22031,1995E,0.0116,33.035,0.045,0.720,0.013,1.170,0.019
22695,2000ce,0.0164,34.170,0.037,0.513,0.016,0.998,0.031
23725,1999aa,0.0157,34.215,0.023,0.000,0.007,0.837,0.020
24288,1999gd,0.0193,34.451,0.074,0.411,0.022,1.180,0.025
25005,1999X,0.0257,35.256,0.062,0.079,0.029,0.958,0.027
30019,1997bq,0.0095,32.944,0.018,0.086,0.006,1.467,0.010
30908,1991S,0.0560,36.987,0.023,0.001,0.005,1.036,0.021
36028,2001ba,0.0305,35.590,0.013,0.000,0.004,1.054,0.010
39920,2000bh,0.0240,35.118,0.021,0.001,0.003,1.129,0.009
41409,1994M,0.0244,34.930,0.029,0.113,0.011,1.376,0.022
41438,1994S,0.0161,34.247,0.014,0.000,0.006,0.859,0.010
41748,2000bk,0.0266,35.267,0.048,0.146,0.020,1.700,0.010
42732,1992P,0.0265,35.350,0.021,0.006,0.006,1.088,0.019
42998,1997Y,0.0166,34.302,0.053,0.065,0.015,1.132,0.026
43118,1997bp,0.0094,32.756,0.052,0.132,0.017,0.830,0.010
43170,2001cz,0.0163,34.025,0.032,0.096,0.009,0.977,0.018
43288,1998ab,0.0279,34.851,0.043,0.212,0.013,0.832,0.010
46640,1994T,0.0360,35.877,0.036,0.111,0.013,1.475,0.010
46779,1991U,0.0331,35.431,0.049,0.092,0.022,0.929,0.018
46839,1992ag,0.0262,35.092,0.103,0.106,0.027,1.162,0.026
47913,2000ca,0.0245,35.092,0.017,0.000,0.005,0.858,0.010
49153,1996C,0.0276,35.695,0.030,0.041,0.009,1.011,0.013
49304,1993H,0.0251,34.957,0.034,0.153,0.012,1.700,0.010
50042,1998D,0.0132,33.672,0.305,0.186,0.060,1.697,0.010
50323,1999cp,0.0104,33.452,0.034,0.002,0.007,0.838,0.030
50558,1997cn,0.0175,34.437,0.061,0.192,0.023,1.686,0.010
56286,2000cf,0.0360,36.207,0.031,0.023,0.013,1.157,0.019
56812,1999cc,0.0316,35.718,0.037,0.035,0.012,1.408,0.026
57205,1999ac,0.0098,33.090,0.026,0.081,0.009,1.067,0.010
59076,1994Q,0.0290,35.405,0.041,0.037,0.018,1.064,0.012
59955,1990O,0.0307,35.535,0.028,0.003,0.008,1.019,0.017
61091,1998bp,0.0104,33.097,0.053,0.251,0.020,1.700,0.010
61173,2000cn,0.0233,35.023,0.036,0.099,0.013,1.700,0.010
61514,1998dx,0.0530,36.753,0.096,0.050,0.032,1.063,0.028
61792,1998V,0.0170,34.187,0.075,0.064,0.023,0.983,0.040
62381,2001cn,0.0155,33.901,0.019,0.128,0.006,1.152,0.010
62934,2001bt,0.0144,33.616,0.036,0.214,0.011,1.170,0.014
63925,1990T,0.0401,36.321,0.026,0.017,0.010,1.120,0.017
63956,1991ag,0.0141,33.782,0.027,0.000,0.004,0.975,0.023
65335,1992al,0.0141,33.978,0.040,0.000,0.005,0.916,0.050
67359,1998co,0.0171,34.288,0.084,0.172,0.031,0.845,0.014
68455,1999ee,0.0104,33.349,0.015,0.230,0.005,0.830,0.010
69428,1998eg,0.0234,35.102,0.060,0.085,0.021,1.062,0.035
70827,1992bl,0.0430,36.340,0.025,0.000,0.005,1.515,0.030
72657,1993ah,0.0286,35.346,0.067,0.028,0.030,1.285,0.017
132177,1992bs,0.0630,37.426,0.072,0.033,0.025,1.076,0.017
340526,1990af,0.0500,36.648,0.017,0.006,0.006,1.681,0.010
343503,1992bg,0.0360,35.893,0.057,0.002,0.011,1.179,0.020
376039,1992bh,0.0450,36.567,0.033,0.085,0.011,1.065,0.018
471591,1992au,0.0610,37.297,0.040,0.005,0.011,1.259,0.021
648636,1993ag,0.0500,36.724,0.063,0.064,0.015,1.225,0.017
662260,1993B,0.0710,37.495,0.052,0.037,0.019,1.097,0.014
679349,1993O,0.0520,36.801,0.036,0.016,0.013,1.207,0.012
765572,1992J,0.0460,36.400,0.079,0.031,0.030,1.662,0.045
869197,1992bp,0.0790,37.518,0.024,0.000,0.006,1.238,0.018
999654,1995ac,0.0490,36.193,0.035,0.090,0.012,0.830,0.010
1392929,1996bl,0.0348,35.903,0.038,0.061,0.015,0.830,0.030
9003101,1990Y,0.0390,35.733,0.112,0.194,0.023,1.273,0.030
9003104,1997dg,0.0297,35.768,0.053,0.085,0.015,1.203,0.024
9003107,1992ae,0.0750,37.610,0.041,0.007,0.011,1.212,0.025
9003108,1992aq,0.1010,38.421,0.042,0.000,0.009,1.273,0.022
9003109,1992br,0.0880,37.819,0.158,0.075,0.053,1.690,0.010
9003110,1996ab,0.1240,38.884,0.036,0.000,0.009,1.064,0.015
