"Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa"
pgc,1PGC,Nest,SNIa,DM,eDM,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,SSubsamp
%7s,%7d,%6d,%29s,%5.2f,%4.2f,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4s,%5.3f,%10s
---,,,,mag,mag,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Subsample in Stahl collection"
250,250,208532,sn2006sr,35.06,0.17,6949,7260,J000335.0+231203,0.931200,23.168200,108.8693,-38.3607,316.3211,17.6719,5.6,0.408,A1
282,0,0,2008hj,36.08,0.13,11008,11360,J000401.5-111027,1.008000,-10.831300,85.7160,-70.5384,282.0792,8.9703,1.3,0.155,CSP
415,415,200542,sn2003it,35.06,0.18,7189,7516,J000548.4+272657,1.480400,27.488300,110.6598,-34.3327,320.8089,17.8681,3.3,0.305,A1
465,616,200076,2000dg,35.95,0.22,11092,11547,J000614.2+085315,1.557500,8.888200,104.4519,-52.3548,301.9053,14.0481,4.2,0.401,LOSS1
515,515,210067,2002hw,34.06,0.19,4797,5256,J000649.5+083743,1.704400,8.630100,104.5597,-52.6445,301.6830,13.8439,5.3,0.457,LOSS1
963,963,211877,sn1998dk,33.59,0.27,3606,3953,J001431.9-004415,3.621400,-0.781100,102.8518,-62.1619,292.9641,9.5362,5.2,0.194,A1
1371,1351,200045,2016eoa,34.65,0.16,5444,6227,J002122.5+222601,5.343300,22.433600,113.8635,-39.9080,316.3369,13.5013,-4.8,0.305,Foundation
1583,1583,210125,"sn1997cw + 2007A",34.07,0.12,4857,5173,J002516.8+125302,6.319400,12.886800,113.0916,-49.4875,307.0273,10.4740,1.7,0.319,A1/CSP
1828,1736,200470,2008ds,34.56,0.29,5984,6310,J002953.4+312336,7.461800,31.392700,117.5530,-31.2532,325.7513,13.3528,5.3,0.278,LOSS2
2332,2331,202847,sn2006ej,34.64,0.18,5753,6110,J003900.2-090052,9.747100,-9.066200,113.1370,-71.6495,286.6886,1.3725,-1.9,0.152,A1
2366,2362,200053,ASASSN-15qc,34.24,0.37,4938,5292,J003918.6+035709,9.824900,3.950000,117.0887,-58.7816,299.2032,4.8430,-2,0.110,snapshot
2501,2501,201399,sn2003ic,36.54,0.18,16237,16596,J004150.5-091811,10.445200,-9.273500,115.2362,-72.0314,286.6054,0.6196,-2.5,0.163,A1
2504,0,0,2008eo,34.33,0.23,4620,4934,J004151.7+325928,10.466800,32.990300,120.6170,-29.8374,327.8509,11.1715,6.4,0.351,LOSS2
2559,2559,201302,sn2006et,34.85,0.18,6410,6684,J004245.7-233341,10.677000,-23.533800,93.6703,-85.9303,272.9466,-3.5012,1.1,0.083,A1
