"Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa","Tonry SNIa"
pgc,SNIa,l,b,z,objname,ref,logcz,logdH,e_logdH,AgV,Method
%7s,%6s,%7.3f,%7.3f,%6.4f,%8s,%8s,%5.3f,%5.3f,%5.3f,%4.2f,%5s
---,,deg,deg,,,,km/s,km/s,km/s,mag,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Galactic longitude","Galactic latitude",Redshift,"Galaxy name used by Tonry et al. ApJ 594,1,2003",References,"Log of radial velocity","Log of luminosity distance, velocity units with H_0=65 km/s/Mpc","Error in distance","V band extinction","Contributing method to lightcurve fit"
963,sn98dk,102.856,-62.161,0.0120,U00139,11,3.556,3.571,0.028,0.80,JST
1288,sn99cw,101.768,-67.906,0.0112,M-010201,11,3.526,3.469,0.034,0.17,J
1583,sn97cw,113.095,-49.487,0.0164,N0105,11,3.692,3.674,0.028,1.04,JST
2819,sn98de,122.031,-35.241,0.0157,N0252,11:23,3.673,3.727,0.024,0.68,JST
3508,sn99ef,125.719,-50.086,0.0380,U00607,11,4.057,4.147,0.033,0.03,JT
3773,sn98ef,125.882,-30.566,0.0170,U00646,11,3.707,3.650,0.028,0.08,JST
3981,sn00dk,126.834,-30.344,0.0164,N0382,11,3.692,3.677,0.023,0.01,JST
4109,sn98dw,143.355,-77.658,0.0490,A0151,8,4.167,4.208,0.051,0.00,S
4972,sn92bo,261.995,-80.348,0.0178,E352-57,10,3.727,3.745,0.021,0.04,RPJST
5037,sn99ej,130.442,-28.946,0.0127,N0495,11,3.581,3.684,0.031,0.08,JT
5222,sn00cx,136.506,-52.482,0.0070,N0524,11:19,3.322,3.320,0.023,0.02,RST
5341,sn98dm,145.975,-67.406,0.0054,M-010444,11,3.209,3.498,0.028,1.06,ST
5577,sn93ae,144.629,-63.220,0.0180,U01071,30,3.732,3.684,0.024,0.17,RJST
5673,sn99dk,137.349,-47.464,0.0141,U01087,14,3.626,3.686,0.039,0.07,RT
6007,sn98es,143.189,-55.177,0.0095,N0632,11:20,3.455,3.438,0.031,0.33,JST
6624,sn96bo,144.460,-48.956,0.0165,N0673,30,3.694,3.653,0.032,0.86,RST
9618,sn99gp,143.251,-19.504,0.0260,U01993,11:20:14,3.892,3.933,0.028,0.15,RJST
9776,sn99dq,152.839,-35.871,0.0136,N0976,11:20,3.610,3.548,0.023,0.35,JST
10448,sn95ak,169.658,-48.982,0.0219,I1844,30,3.817,3.772,0.033,0.55,RJST
11606,sn92bc,245.694,-59.635,0.0186,E300-09,10,3.746,3.777,0.021,0.03,RPJST
12651,80N81B,240.161,-56.689,0.0056,N1316,9,3.225,3.092,0.034,0.26,"RT JT"
13318,sn92A,235.896,-54.059,0.0058,N1380,33,3.240,3.124,0.023,0.08,RST
13652,sn92bk,265.036,-48.918,0.0580,E156-08,10,4.240,4.222,0.025,0.11,RJST
15937,sn95bd,187.111,-21.660,0.0152,U03151,30,3.659,3.648,0.029,0.94,RJST
17509,sn99ek,189.403,-8.234,0.0176,U03329,11,3.722,3.687,0.044,0.62,JT
17787,sn93ac,149.707,17.212,0.0490,P17787,30,4.167,4.206,0.043,0.49,RJST
18747,sn96bv,157.337,17.972,0.0167,U03432,30,3.700,3.663,0.036,0.73,RJST
19622,sn97E,140.201,25.814,0.0132,N2258,11,3.597,3.624,0.024,0.29,RJST
19788,sn98ec,166.295,20.711,0.0200,U03576,11,3.778,3.801,0.039,0.57,JST
20136,sn00B,166.353,22.791,0.0193,N2320,11,3.762,3.740,0.039,0.38,JST
20513,sn00fa,194.167,15.479,0.0218,U03770,11,3.815,3.837,0.026,0.34,JST
21020,sn97do,171.001,25.269,0.0104,U03845,11,3.494,3.545,0.028,0.32,JST
22031,sn95E,141.994,30.262,0.0116,N2441,30,3.541,3.559,0.034,2.18,RS
22254,sn94C,174.632,29.922,0.0510,M+081523,29,4.184,4.139,0.036,0.00,R
22695,sn00ce,149.096,32.004,0.0165,U04195,11:14,3.694,3.705,0.030,1.02,RJT
23725,sn99aa,202.725,30.313,0.0157,N2595,11:20:15,3.673,3.684,0.032,0.01,RST
24288,sn99gd,198.835,33.977,0.0190,N2623,11,3.756,3.779,0.029,1.27,JT
25005,sn99X,186.585,39.591,0.0257,C180022,11,3.887,3.888,0.037,0.33,JT
26512,sn99by,166.914,44.120,0.0027,N2841,6:20,2.908,3.067,0.167,0.72,ST
27351,sn96Z,253.609,22.559,0.0087,N2935,30,3.416,3.387,0.036,0.55,RST
27635,sn95D,230.027,39.659,0.0077,N2962,30,3.363,3.373,0.024,0.08,RST
27885,sn99gh,255.048,23.736,0.0088,N2986,11,3.421,3.356,0.023,0.15,JST
28357,sn95al,192.179,50.835,0.0060,N3021,30,3.255,3.328,0.026,0.31,RST
30019,sn97bq,136.293,39.485,0.0096,N3147,11,3.459,3.484,0.023,0.42,JST
30908,sn91S,214.061,57.426,0.0560,U05691,10,4.225,4.283,0.042,0.11,RJT
31428,sn92G,184.623,59.851,0.0062,N3294,5,3.269,3.286,0.030,0.29,RT
32192,sn98bu,234.413,57.020,0.0043,N3368,12,3.110,2.912,0.028,1.03,RST
32207,sn94ae,225.342,59.665,0.0054,N3370,30,3.209,3.295,0.028,0.29,RST
34695,sn89B,241.991,64.403,0.0036,N3627,37,3.033,2.844,0.030,0.74,RST
34814,sn96V,257.577,57.537,0.0250,N3644,29,3.875,3.871,0.057,0.00,R
37520,sn98aq,138.837,60.269,0.0037,N3982,1,3.045,3.181,0.023,0.06,RST
37591,sn01V,218.929,77.733,0.0162,N3987,22,3.686,3.662,0.023,0.20,JST
40455,sn91bg,278.227,74.464,0.0042,N4374,4,3.100,3.064,0.035,0.02,RT
41409,sn94M,291.687,63.033,0.0244,N4493,30,3.864,3.835,0.026,0.40,RJST
41438,sn94S,187.377,85.142,0.0161,N4495,30,3.684,3.693,0.024,0.04,RJST
41517,sn99cl,282.270,76.509,0.0082,N4501,15,3.391,3.009,0.090,1.68,RS
41748,sn00bk,295.292,55.233,0.0266,N4520,14,3.902,3.911,0.030,0.26,RJT
41772,sn94D,290.151,70.140,0.0027,N4526,27,2.908,3.003,0.026,0.06,RT
41789,sn91T,292.609,65.191,0.0070,N4527,21,3.322,2.961,0.028,0.50,RST
41823,sn81B,292.970,64.743,0.0072,N4536,2,3.334,3.077,0.041,0.25,RT
42732,sn92P,295.617,73.110,0.0265,I3690,10,3.900,3.939,0.027,0.13,RPJST
42741,sn90N,294.369,75.987,0.0044,N4639,21,3.120,3.204,0.035,0.30,RST
42998,sn97Y,124.772,62.369,0.0166,N4675,11,3.697,3.730,0.039,0.19,JT
43118,sn97bp,301.157,51.213,0.0095,N4680,11,3.455,3.416,0.025,0.44,RJST
43288,sn98ab,124.861,75.194,0.0278,N4704,11,3.921,3.876,0.025,0.59,JST
45224,sn94U,308.732,54.772,0.0056,N4948,29,3.225,3.149,0.030,0.00,R
45683,sn92K,306.275,16.309,0.0112,E269-57,10,3.526,3.432,0.036,0.56,RJST
45749,sn96ai,101.583,79.246,0.0041,N5005,30,3.090,3.109,0.121,4.08,RS
46330,sn96X,310.232,35.649,0.0078,N5061,30,3.369,3.266,0.024,0.08,RST
46574,sn97br,311.841,40.328,0.0080,E576-40,11:18,3.380,3.282,0.026,0.47,JT
46640,sn94T,318.017,59.838,0.0360,P46640,30,4.033,4.014,0.025,0.17,RJST
46779,sn91U,311.824,36.212,0.0331,I4232,10,3.997,3.938,0.032,0.47,RJST
46839,sn92ag,312.490,38.386,0.0262,E508-67,10,3.895,3.864,0.031,0.49,RPJST
46957,sn86G,309.543,19.401,0.0027,N5128,26,2.908,2.440,0.035,0.49,RT
47150,sn97by,312.690,34.865,0.0450,A1736,8,4.130,4.084,0.039,0.16,S
48334,sn72E,314.840,30.080,0.0023,N5253,16,2.839,2.399,0.033,0.10,RT
48860,sn96bk,111.255,54.881,0.0072,N5308,30,3.334,3.298,0.041,0.81,RST
49153,sn96C,99.624,65.036,0.0276,M+082547,30,3.918,3.989,0.026,0.32,RJST
49304,sn93H,318.223,30.336,0.0251,E445-66,10,3.876,3.845,0.026,0.32,RJST
50042,sn98D,63.777,72.905,0.0132,N5440,11,3.597,3.605,0.069,0.20,J
