ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST,ANGST
pgc,Cat,Targ,Filt,Nstar,A_V,Color,Mtrgb,mraw,m_trgb,etrgb,modulus,dist,edist,Ncmd,avdist,eavdist
%7s,%11s,%21s,%11s,%4d,%5.3f,%4.2f,%5.2f,%6.3f,%6.3f,%5.3f,%6.3f,%4.2f,%5.3f,%1d,%4.2f,%5.2f
---,,,,,mag,mag,mag,mag,mag,mag,mag,Mpc,Mpc,,Mpc,Mpc
"The Catalogue of Principal Galaxies (PGC) Number","Catalog name","Target name (specific field in galaxy with lowest distance uncertainty)","Filters used for CMD","Number of stars within 1 mag of the TRGB","Foreground extinction in V band, A_V","Mean color of stars used to measure the TRGB","Predicted absolute magnitude of TRGB at the mean color","Apparent magnitude of TRGB in F814W uncorrected for extinction (raw)","Extinction corrected TRGB magnitude","Error in extinction corrected TRGB magnitude","TRGB distance modulus for chosen field in galaxy","TRGB distance; chosen field","Uncertainty in TRGB distance","Number of ANGST fields on galaxy","Weighted average distance over all fields","Weighted error in averaged distance"
1014,N55,NGC0055-DEEP,"F606W,F814W",323,0.041,1.06,-4.01,22.615,22.591,0.011,26.604,2.09,0.025,4,2.10,0.02
1038,E410-005,ESO410-005,"F606W,F814W",194,0.042,1.06,-4.05,22.493,22.469,0.042,26.514,2.01,0.090,1,2.01,0.09
1641,E294-010,ESO294-010,"F606W,F814W",95,0.018,1.06,-4.05,22.397,22.386,0.008,26.434,1.94,0.017,1,1.94,0.02
2758,N247,NGC0247-WIDE1,"F606W,F814W",3349,0.056,1.30,-4.02,23.753,23.722,0.031,27.745,3.54,0.117,2,3.52,0.09
2789,N253,NGC0253-WIDE1,"F475W,F814W",2188,0.058,2.63,-4.02,23.712,23.678,0.017,27.698,3.46,0.065,3,3.43,0.05
2881,KDG2,E540-030,"F606W,F814W",179,0.072,1.04,-4.04,23.613,23.571,0.009,27.612,3.33,0.033,1,3.33,0.03
