CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB,CMDs/TRGB
pgc,Name/CMD,Alt_Source,D814,HST-pgm,Cam,D110,D160,HST-IR,Cam-IR,T814,T8_lo,T8_hi,606-814,eb_lo,eb_hi,555-814,ea_lo,ea_hi,TRGB,T_lo,T_hi,V-I,e_lo,e_hi,E1_B-V,E2_B-V,A_814,M_TRGB,DM_tip,eDM_lo,eDM_hi,T110,T1_lo,T1_hi,C110,e1_lo,e1_hi,T160,T6_lo,T6_hi,C160,e6_lo,e6_hi,A_110,A_160,M_T110,M_T160,DM_110,eDM1_lo,eDM1_hi,DM_160,eDM6_lo,eDM6_hi
%7s,%38s,%34s,%5.2f,%5d,%7s,%5.2f,%5.2f,%5d,%4s,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.3f,%5.3f,%5.3f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.3f,%5.3f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f
---,,,Mpc,,,Mpc,Mpc,,,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name, click for link to Color-Magnitude Diagram","Alternative reduction. ANGRRR: http://archive.stsci.edu/prepds/angrrr/datalist.html; ANGST: http://www.nearbygalaxies.org/galaxy/show; LCID: http://iopscience.iop.org: LGSP: http://astronomy.nmsu.edu/holz/archival","Distance from F814W TRGB measurement","Hubble Space Telescope program number","HST optical imager","Distance from F110W TRGB measurement","Distance from F160W TRGB measurement","Hubble Space Telescope program number","HST IR imager","Tip of the Giant Branch magnitude in the HST F814W filter","1 sigma lower error estimate for Tip of the Giant Branch magnitude","1 sigma higher error estimate for Tip of the Giant Branch magnitude","HST F606-F814 color of TRGB","1 sigma lower error estimate for F606-F814 color of TRGB","1 sigma higher error estimate for F606-F814 color of TRGB","HST F555-F814 color of TRGB","1 sigma lower error estimate for F555-F814 color of TRGB","1 sigma higher error estimate for F555-F814 color of TRGB","Tip of the Giant Branch magnitude transformed to Cousins I filter","1 sigma lower error estimate for Tip of the Giant Branch magnitude","1 sigma higher error estimate for Tip of the Giant Branch magnitude","Johnson-Cousins V - I color of TRGB","1 sigma lower error estimate for V - I color of TRGB","1 sigma higher error estimate for V - I color of TRGB","Differential B-V extinction from IRAS/DIRBE maps following Schlegel et al. as modified by Schlafly & Finkbeiner (2011)","Differential B-V extinction from Main Sequence displacement on CMD","Extinction in F814W band from Main Sequence displacement or IRAS/DIRBE maps following Schlafly & Finkbeiner (2011)","Absolute magnitude of the Tip of the Giant Branch (flight filter system) following Rizzi et al. 2007, ApJ, 661, 815","Distance Modulus from the Tip of the Giant Branch measurement","1 sigma lower error estimate for TRGB distance modulus","1 sigma higher error estimate for TRGB distance modulus","Tip of the Giant Branch magnitude in the HST F110W filter","1 sigma lower error estimate for F110W Tip of the Giant Branch magnitude","1 sigma higher error estimate for F110W Tip of the Giant Branch magnitude","HST F110-F160 color of F110W TRGB","1 sigma lower error estimate for F110-F160 color of F110W TRGB","1 sigma higher error estimate for F110-F160 color of F110W TRGB","Tip of the Giant Branch magnitude in the HST F160W filter","1 sigma lower error estimate for F160W Tip of the Giant Branch magnitude","1 sigma higher error estimate for F160W Tip of the Giant Branch magnitude","HST F110-F160 color of F160W TRGB","1 sigma lower error estimate for F110-F160 color of F160W TRGB","1 sigma higher error estimate for F110-F160 color of F160W TRGB","Extinction in F110W band from Main Sequence displacement or IRAS/DIRBE maps following Schlafly & Finkbeiner (2011)","Extinction in F160W band from Main Sequence displacement or IRAS/DIRBE maps following Schlafly & Finkbeiner (2011)","Absolute magnitude of the Tip of the Giant Branch at F110W following Wu et al. 2014, AJ, 000, 000","Absolute magnitude of the Tip of the Giant Branch at F160W following Wu et al. 2014, AJ, 000, 000","Distance Modulus from the F110W Tip of the Giant Branch measurement","1 sigma lower error estimate for F110W TRGB distance modulus","1 sigma higher error estimate for F110W TRGB distance modulus","Distance Modulus from the F160W Tip of the Giant Branch measurement","1 sigma lower error estimate for F160W TRGB distance modulus","1 sigma higher error estimate for F160W TRGB distance modulus"
35,LV/UGC12894/000035o.html,,9.05,15922,ACS,,,,,25.83,25.80,25.86,1.06,0.99,1.13,,,,25.84,25.81,25.87,1.39,1.30,1.48,0.096,,0.166,-4.11,29.78,29.69,29.88,,,,,,,,,,,,,,,,,,,,,,
143,LV/DDO221/143o.html,,0.98,6813,WFPC2,,,,,20.99,20.90,21.02,,,,1.49,1.40,1.52,20.95,20.86,20.98,1.51,1.42,1.54,0.032,,0.057,-4.03,24.96,24.87,25.01,,,,,,,,,,,,,,,,,,,,,,
218,LV/NGC7814/218o.html,,14.35,10889,ACS,,,,,26.81,26.77,26.85,1.38,1.36,1.40,,,,26.82,26.78,26.86,1.78,1.75,1.80,0.038,,0.066,-4.04,30.78,30.69,30.88,,,,,,,,,,,,,,,,,,,,,,
388,LV/ESO409-015/388o.html,,8.71,13442,ACS,,,,,25.65,25.57,25.73,1.13,1.10,1.17,,,,,,,,,,,,0.030,-4.08,29.70,29.59,29.81,,,,,,,,,,,,,,,,,,,,,,
591,LV/UGC64/591o.html,,8.16,15922,ACS,,,,,25.60,25.53,25.67,1.18,1.14,1.22,,,,25.61,25.54,25.68,1.54,1.48,1.59,0.070,,0.120,-4.08,29.56,29.45,29.67,,,,,,,,,,,,,,,,,,,,,,
621,LV/ESO349-031/621o.html,ANGRRR,3.21,9771,ACS,,,,,23.47,23.43,23.50,1.08,1.08,1.10,,,,23.47,23.44,23.51,1.42,1.41,1.43,0.011,,0.019,-4.09,27.53,27.49,27.57,,,,,,,,,,,,,,,,,,,,,,
