"Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF"
pgc,Name,VCC,dist,eD,DM,edm,Vhel,1PGC,Nest,Gp,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag,Area,Rad,uz,euz,gi,egi,gz,egz,Mbar,eMbar
%7s,%7s,%7s,%4.1f,%3.1f,%5.2f,%4.2f,%5d,%7d,%6d,%5s,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f,%5.2f,%5.1f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.2f,%4.2f
---,,,Mpc,Mpc,mag,mag,km/s,,,,,hmsdms,deg,deg,deg,deg,mag,amin^2,asec,mag,mag,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","Virgo Cluster Catalog ID","Distance (see Cantiello et al. for zero point)","Uncertainty in distance (excluding zero point)","Distance modulus","Error in distance modulus","Heliocentric velocity","PGC ID of dominant group member","Group ID in 2MASS group catalog of Tully (2015)","Group assignment by Cantiello et al.","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3",Area,Radius,"u*-z color","Uncertainty in u*-z color","g-i color","Uncertainty in g-i color","g-z color","Uncertainty in g-z color","Surface brightnes fluctuation absolute magnitude Mbar","Uncertainty in Mbar"
38890,NGC4168,VCC0049,31.4,1.9,32.49,0.13,2273,38890,130002,M,-4.9,J121217.3+131219,267.6797,73.3371,100.7585,-6.4231,0.158,4.11,51.5,2.623,0.007,0.983,0.002,1.214,0.007,31.63,0.09
39246,NGC4216,VCC0167,18.1,1.9,31.29,0.23,134,41220,100002,V,3.0,J121554.3+130858,270.4542,73.7376,101.0814,-5.6013,0.137,1.05,59.2,2.501,0.030,0.999,0.013,1.234,0.029,30.30,0.14
39328,NGC4224,VCC0199,21.5,1.3,31.66,0.13,2587,39659,120002,W/W'?,1.0,J121633.8+072743,278.5307,68.6655,106.5941,-7.1367,0.105,0.38,31.2,2.568,0.012,0.989,0.005,1.211,0.010,30.76,0.07
39384,NGC4233,VCC0220,31.1,2.2,32.46,0.15,2275,39659,120002,W,-0.2,J121707.7+073728,278.7244,68.8680,106.4788,-6.9554,0.103,1.02,32.9,2.737,0.008,1.033,0.004,1.302,0.007,31.75,0.12
39389,NGC4235,VCC0222,26.6,2.4,32.12,0.19,2423,39659,120002,W,1.0,J121709.9+071130,279.1817,68.4683,106.8987,-7.0727,0.081,0.37,28.0,2.546,0.015,0.965,0.006,1.209,0.012,31.21,0.15
39393,NGC4237,VCC0226,18.9,2.0,31.38,0.23,864,41220,100002,V,4.0,J121711.4+151926,267.2117,75.7628,99.0956,-4.6453,0.130,0.64,54.5,2.171,0.042,0.816,0.012,1.069,0.041,30.04,0.08
39656,NGC4260,VCC0341,26.8,2.5,32.14,0.20,1789,39659,120002,W,1.0,J121922.3+060556,281.5631,67.6304,108.1120,-6.8638,0.100,0.64,39.6,2.632,0.027,1.002,0.004,1.266,0.025,31.32,0.11
39659,NGC4261,VCC0345,29.0,2.0,32.31,0.15,2222,39659,120002,W,-4.8,J121923.2+054930,281.8044,67.3725,108.3774,-6.9388,0.077,6.18,64.3,2.796,0.007,1.075,0.001,1.378,0.007,31.67,0.12
39676,NGC4262,VCC0355,13.7,0.7,30.69,0.11,1367,41220,100002,V,-2.6,J121930.6+145239,270.0909,75.6721,99.6921,-4.2465,0.155,0.48,33.0,2.667,0.009,1.013,0.003,1.281,0.008,29.87,0.05
39710,NGC4267,VCC0369,15.7,0.6,30.99,0.09,983,41220,100002,V,-2.7,J121945.3+124754,274.0155,73.8643,101.7002,-4.8120,0.203,2.96,45.4,2.815,0.005,1.106,0.007,1.346,0.008,30.32,0.04
39950,NGC4298,VCC0483,15.3,1.5,30.92,0.21,1128,41220,100002,V,5.1,J122132.8+143622,272.3635,75.6726,100.0996,-3.8579,0.153,1.26,64.6,2.183,0.036,0.749,0.014,0.978,0.035,29.59,0.06
40032,NGC4306,VCC0523,18.4,1.1,31.32,0.12,1523,41220,100002,V,-2.0,J122204.1+124715,275.8793,74.0962,101.8783,-4.2765,0.186,1.82,32.2,2.308,0.010,0.895,0.005,1.076,0.010,30.11,0.06
40033,NGC4307,VCC0524,15.9,1.1,31.01,0.15,1059,41220,100002,V,3.2,J122205.7+090237,280.5843,70.6315,105.4725,-5.3672,0.099,0.54,27.8,2.323,0.017,0.900,0.008,1.104,0.016,29.85,0.07
40095,NGC4312,VCC0559,16.1,1.2,31.03,0.16,150,41220,100002,V,2.1,J122231.3+153216,271.3785,76.6043,99.2787,-3.3555,0.119,1.25,36.4,2.194,0.015,0.866,0.005,1.050,0.014,29.72,0.09
40105,NGC4313,VCC0570,17.0,1.2,31.15,0.16,1434,41220,100002,V,2.1,J122238.5+114804,277.7433,73.2486,102.8652,-4.4331,0.159,0.46,30.1,2.351,0.015,0.867,0.011,1.104,0.015,29.99,0.09
40153,NGC4321,VCC0596,17.2,1.7,31.17,0.21,1574,41220,100002,V,4.0,J122254.9+154920,271.1362,76.8988,99.0349,-3.1807,0.113,4.11,179.0,2.087,0.036,0.767,0.012,1.052,0.036,29.75,0.06
40179,NGC4324,VCC0613,15.5,1.2,30.95,0.16,1664,41220,100002,V,-0.8,J122306.2+051502,284.5322,67.1045,109.1971,-6.2160,0.104,0.33,33.3,2.225,0.020,0.976,0.009,1.183,0.018,29.68,0.07
40240,NGC4339,VCC0648,22.4,0.9,31.75,0.09,1293,40375,140002,W',-4.6,J122334.9+060454,284.2122,67.9353,108.4296,-5.8655,0.113,1.01,28.9,2.764,0.004,1.061,0.001,1.320,0.004,31.07,0.06
