"HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF","HST IR SBF"
pgc,Name,1PGC,Nest,DMzp,DM,edm,Vhel,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag
%7s,%9s,%7d,%6d,%6.3f,%6.3f,%5.3f,%5d,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f
---,,,,mag,mag,mag,km/s,,hmsdms,deg,deg,deg,deg,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","PGC ID of dominant member of group","Nest ID in 2MASS group catalog of Tully (2015)","Distance modulus shifted to absolute scale (H0=75)","Distance modulus","Error in distance modulus","Heliocentric velocity","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3"
1037,NGC0057,1037,200319,34.077,34.126,0.094,5449,-4.9,J001530.9+171942,110.8305,-44.6976,310.9031,13.7833,0.335
3455,NGC0315,3455,200070,34.117,34.166,0.081,4974,-4.1,J005748.9+302108,124.5630,-32.4992,326.0060,7.2773,0.280
3982,NGC0383,4224,200005,34.052,34.101,0.084,5057,-2.9,J010724.9+322446,126.8388,-30.3378,328.5287,5.8072,0.307
4224,NGC0410,4224,200005,33.888,33.937,0.082,5276,-4.3,J011058.9+330908,127.6335,-29.5410,329.4427,5.2765,0.254
5037,NGC0495,5098,200006,34.000,34.049,0.081,4104,0.2,J012256.2+332813,130.4359,-28.9420,330.4440,2.9656,0.311
5098,NGC0507,5098,200006,33.904,33.953,0.081,4934,-3.3,J012340.0+331521,130.6431,-29.1329,330.2830,2.7573,0.269
5222,NGC0524,5222,200164,32.163,32.212,0.090,2423,-1.2,J012447.7+093220,136.5055,-52.4516,307.6785,-4.4815,0.357
5283,NGC0533,5283,200184,34.261,34.310,0.077,5522,-4.9,J012531.4+014533,140.1455,-59.9686,300.2311,-6.8569,0.132
5323,NGC0545,5324,200011,34.440,34.489,0.110,5338,-2.8,J012559.1-012025,142.1835,-62.9134,297.2571,-7.8155,0.179
5324,NGC0547,5324,200011,34.342,34.391,0.096,5525,-4.8,J012600.6-012043,142.1999,-62.9164,297.2540,-7.8229,0.179
6415,NGC0665,6415,200166,33.924,33.973,0.084,5454,-2.0,J014456.1+102523,143.7820,-50.2704,310.0158,-8.9519,0.382
6962,NGC0708,6962,200003,33.896,33.945,0.085,4839,-4.9,J015246.5+360907,136.5696,-25.0901,334.9693,-1.9545,0.390
7252,NGC0741,7252,200259,34.165,34.214,0.080,5564,-4.8,J015621.0+053744,150.9346,-53.6763,306.2441,-13.1073,0.227
7584,NGC0777,7584,200140,34.112,34.161,0.082,4996,-4.8,J020014.9+312546,139.7338,-29.1873,331.1397,-5.1332,0.202
7889,NGC0809,7889,210341,34.327,34.376,0.109,5340,-1.7,J020419.0-084407,169.4638,-64.7981,292.4186,-18.9331,0.104
8997,NGC0890,8997,207057,33.247,33.296,0.081,3952,-2.6,J022201.0+331558,143.8996,-25.8910,334.6868,-8.6124,0.336
