"Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF","Hydra/Centaurus SBF"
pgc,Name,1PGC,Nest,GpID,RAJ,DeJ,Vo,V-I,Vh,Type,F,P0,e_P0,P1,ZP,S/N,dsim,dBG,dGC,mbar,e_mbar,DM,e_dm,dist,e_d
%7s,%5s,%7d,%6d,%4d,%10s,%9s,%5.2f,%4.2f,%4d,%16s,%1d,%5.2f,%4.2f,%4.2f,%5.2f,%5.2f,%5.3f,%5.3f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%4.1f,%3.1f
---,,,,,hms,dms,mag,mag,km/s,,,ADU,ADU,ADU,mag,mag,mag,mag,mag,mag,mag,mag,mag,Mpc,Mpc
"The Catalogue of Principal Galaxies (PGC) Number","Primary name in publication","PGC ID of dominant member of group","Group nest ID in 2MASS group catalog by Tully(2015)","Tully 3000 group identification number","Right ascension, epoch 2000","Declination, epoch 2000","Total visual magnitude from curve of growth","V-I color of analyzed region","Heliocentric velocity","Morphological type","Acquisition Field","Amplitude of pixel-to-pixel surface brightness fluctuation","Error in P0","White noise","Photometric zero point including exposure time",Signal-to-noise,"Window function correction","Relative contribution of background variance to SBF signal","Contribution from globular clusters below the detection limit","Apparent fluctuation magnitude","Error in fluctuation magnitude","Distance modulus","Error in distance modulus","Distance in Mpc","Error in distance"
31438,N3308,31478,100006,487,"10 36 22.3","-27 26 17",12.10,1.28,3537,SB0(2)[SAB(s)0-],5,2.24,0.60,0.17,32.85,13.20,0.130,0.028,0.24,31.88,0.28,33.04,0.30,40.6,5.7
31466,N3311,31478,100006,487,"10 36 35.7","-27 31 05",11.90,1.21,4068,E1[E3],1,3.29,0.24,0.32,32.81,10.30,0.208,0.030,0.25,31.33,0.10,33.09,0.14,41.4,2.6
31478,N3309,31478,100006,487,"10 36 42.7","-27 31 42",10.90,1.15,3713,S0(2)[E+2],1,3.18,0.25,0.25,32.81,12.90,0.175,0.042,0.14,31.30,0.09,32.81,0.13,36.5,2.1
43058,52,43296,100003,441,"12 45 44.3","-41 02 58",17.86,1.09,2609,"dE,N",1,2.81,0.33,0.64,32.76,4.39,0.168,0.072,0.22,31.47,0.43,33.47,0.45,49.4,10.0
43280,61,43296,100003,441,"12 48 39.7","-41 16 05",16.26,1.14,2910,"dE,N",1,2.94,0.25,0.51,32.76,5.76,0.174,0.068,0.26,31.46,0.29,33.23,0.32,44.2,6.5
43296,N4696,43296,100003,441,"12 48 49.0","-41 18 39",11.50,1.24,2985,"E4,S03(4)",1,2.33,0.04,0.49,32.78,4.78,0.090,0.090,0.23,31.84,0.12,33.14,0.17,42.5,3.2
