McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie,McConnachie
pgc,Name,RAJ,DeJ,E(B-V),DM,eDM+,eDM-,Vhel,eV+,eV-,Vmag,emag+,emag-,PA,PA+,PA-,Ellip,eE+,eE-,SB0,eSB+,eSB-,Re,eR+,eR-,Sig_s,eS_s+,eS_s-,Vrot_s,eVr_s+,eVr_s-,MHI,Sig_g,eS_g+,eS_g-,Vrot_g,eVr_g+,eVr_g-,[Fe/H],eFe/H+,eFe/H-,F,Ref,Dist,eD+,eD-,Vh,eVh,Glong,Glat,SGL,SGB
%7s,%18s,%10s,%9s,%5.3f,%5.2f,%4.2f,%4.2f,%6.1f,%4.1f,%4.1f,%4.1f,%3.1f,%3.1f,%5.1f,%4.1f,%4.1f,%4.2f,%4.2f,%4.2f,%4.1f,%3.1f,%3.1f,%6.2f,%5.2f,%5.2f,%4.1f,%4.1f,%4.1f,%4.1f,%4.1f,%4.1f,%7.2f,%4.1f,%4.1f,%4.1f,%5.1f,%4.1f,%4.1f,%5.2f,%4.2f,%4.2f,%1s,%39s,%4d,%4d,%4d,%6.1f,%4.1f,%9.5f,%9.5f,%9.5f,%9.5f
---,,hms,dms,mag,mag,mag,mag,km/s,km/s,km/s,mag,mag,mag,deg,deg,deg,,,,mag/sq.as,mag/sq.as,mag/sq.as,arcmin,arcmin,arcmin,km/s,km/s,km/s,km/s,km/s,km/s,10^6Msun,km/s,km/s,km/s,km/s,km/s,km/s,,,,,,kpc,kpc,kpc,km/s,km/s,deg,deg,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Commen name","Right Ascension (J2000)","Declination (J2000)","Foreground reddening, E(B-V)","Distance modulus","Far side error in distance modulus","Near side error in distance modulus","Heliocentric radial velocity","Positive error in radial velocity","Negative error in radial velocity","Apparent V magnitude in Vega system","Positive error in V magnitude","Negative error in V magnitude","Position angle of major axis","Positive error in position angle of major axis","Negative error in position angle of major axis","Projected ellipticity, e=1-b/a","Positive error in projected ellipticity","Negative error in projected ellipticity","Central V surface brightness","Positive error in central V surface brightness","Negative error in central V surface brightness","Half-light radius measured om major axis","Positive error on half-light radius","Negative error on half-light radius","Stellar radial velocity dispersion","Positive error on stellar radial velocity dispersion","Negative error on stellar radial velocity dispersion","Stellar peak/max rotation velocity","Positive error on stellar peak/max rotation velocity","Negative error on stellar peak/max rotation velocity","Mass of HI (distance from column 6)","HI radial velocity dispersion","Positive error on HI radial velocity dispersion","Negative error on HI radial velocity dispersion","HI peak/max rotation velocity","Positive error on HI peak/max rotation velocity","Negative error on HI peak/max rotation velocity","Stellar mean metallicity in dex","Positive error on dex stellar mean metallicity","Negative error on dex stellar mean metallicity","Flag metallicity measurement: 1=high res. spectroscopy; 2=spectral synthesis; 3=CaT calibration; 4=CMD modelling; 5=isochrones; 6=color of red giant branch",References,"Distance: Conn et al. 2012,ApJ,758,11","Far side distance error: Conn et al.","Near side distance error: Conn et al.","Heliocentric velocity: Collins et al.","Error on heliocentric velocity: Collins et al.","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude"
143,WLM,"0  1 58.2","-15 27 39",0.038,24.85,0.08,0.08,-130.0,1.0,1.0,10.6,0.1,0.1,4.0,2.0,2.0,0.65,0.01,0.01,23.7,,,7.78,0.10,0.10,17.5,2.0,2.0,20.8,2.0,2.0,61.00,4.5,1.0,1.0,30.0,3.0,3.0,-1.27,0.04,0.04,3,(40)(71)(41)(154),,,,,,75.86349,-73.62448,277.80768,8.08604
1014,"NGC 55","0 14 53.6","-39 11 48",0.013,26.43,0.12,0.12,129.0,2.0,2.0,7.9,0.1,0.1,108.0,2.0,2.0,0.83,0.01,0.01,19.3,,,5.16,,,,,,,,,1300.00,,,,86.0,6.0,6.0,,,,9,(85)(67)(41)(162),,,,,,332.88196,-75.73090,256.24918,-2.35943
1038,"ESO 410- G 005","0 15 31.6","-32 10 48",0.014,26.42,0.04,0.04,,,,14.9,0.3,0.3,57.0,,,0.37,,,22.2,0.2,0.2,0.50,0.05,0.05,,,,,,,0.73,14.2,0.6,0.6,,,,-1.93,0.20,0.20,6,(59)(121)(117)(161),,,,,,357.84491,-80.70973,262.94604,-0.25689
1305,"IC 10","0 20 17.3","59 18 14",1.568,24.50,0.12,0.12,-348.0,1.0,1.0,9.5,0.2,0.2,,,,0.19,0.02,0.02,24.6,0.2,0.2,2.65,,,,,,,,,50.00,8.0,1.0,1.0,34.0,5.0,5.0,-1.28,,,5,(59)(43)(41)(106)(145)(146)(196),,,,,,118.96989,-3.33948,354.41760,17.86573
1641,"ESO 294- G 010","0 26 33.4","-41 51 19",0.006,26.54,0.04,0.04,117.0,5.0,5.0,15.3,0.3,0.3,8.0,,,0.51,,,22.3,0.2,0.2,0.42,0.04,0.04,,,,,,,0.34,9.7,0.9,0.9,,,,-1.48,0.17,0.17,6,(59)(86)(121)(117)(161),,,,,,320.41553,-74.41724,254.37207,-5.27002
2004,"NGC 147","0 33 12.1","48 30 32",0.172,24.15,0.09,0.09,-193.1,0.8,0.8,9.5,0.1,0.1,25.0,3.0,3.0,0.41,0.02,0.02,21.2,,,3.17,,,16.0,1.0,1.0,17.0,2.0,2.0,,,,,,,,-1.10,0.10,0.10,3,(40)(52)(41)(130),712,21,-19,,,119.81702,-14.25275,343.32047,15.27345
2121,"Andromeda III","0 35 33.8","36 29 52",0.056,24.37,0.07,0.07,-344.3,1.7,1.7,14.4,0.3,0.3,136.0,3.0,3.0,0.52,0.02,0.02,24.8,0.2,0.2,2.20,0.20,0.20,9.3,1.4,1.4,,,,,,,,,,,-1.78,0.04,0.04,5,(40)(47)(105)(143)(130)(201),723,18,-24,,,119.33424,-26.25482,331.12634,13.13735
2329,"NGC 185","0 38 58.0","48 20 15",0.184,23.95,0.09,0.09,-203.8,1.1,1.1,9.2,0.1,0.1,35.0,3.0,3.0,0.15,0.01,0.01,20.8,,,2.55,,,24.0,1.0,1.0,15.0,5.0,5.0,0.11,15.3,0.8,0.8,,,,-1.30,0.10,0.10,3,(40)(52)(41)(142),620,19,-18,,,120.79118,-14.48243,343.26773,14.30354
2429,"NGC 205","0 40 22.1","41 41  7",0.085,24.58,0.07,0.07,-246.0,1.0,1.0,8.1,0.1,0.1,28.0,5.0,5.0,0.43,0.10,0.10,19.2,,,2.46,0.10,0.10,35.0,5.0,5.0,11.0,5.0,5.0,0.40,16.1,,,,,,-0.80,0.20,0.20,5,(40)(45)(41)(102)(142),,,,,,120.71640,-21.13869,336.53683,13.06038
2555,M32,"0 42 41.8","40 51 55",0.154,24.53,0.21,0.21,-199.0,6.0,6.0,8.1,0.1,0.1,159.0,2.0,2.0,0.25,0.02,0.02,11.1,,,0.47,0.05,0.05,92.0,5.0,5.0,55.0,3.0,3.0,,,,,,,,-0.25,,,5,(42)(43)(41)(102)(140)(130)(195),,,,,,121.14987,-21.97628,335.78452,12.48963
