"Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF","Tonry SBF"
pgc,objname,Modc,1PGC,Nest,al2000,de2000,V_hel,T,GrpID,AgB,VmI,e_VmI,N_VmI,Ibar,e_Ibar,N_Ibar,Mod01,e_Mod,Rav,ratio_in,ratio_out,Qmax,PD,NbarI,Sigma,Qual,icnt,NBG_ID,LH_ID,fil
%7s,%8s,%5.2f,%7d,%6d,%7.3f,%7.3f,%5d,%2d,%3d,%5.2f,%6.3f,%5.3f,%2d,%5.2f,%4.2f,%2d,%5.2f,%4.2f,%5.1f,%5.2f,%5.2f,%4.1f,%5.2f,%5.2f,%5.3f,%4s,%4d,%8s,%4d,%5.1f
---,,mag,,,h,deg,km/s,,,mag,mag,mag,,mag,mag,,mag,mag,arcsec,,,,,,,,,,,
"The Catalogue of Principal Galaxies (PGC) Number","Name used by Tonry et al. (Paper IV)","Distance modulus: adjusted Blakeslee et al. 2010, ApJ 694, 556","PGC ID of dominant group member","Nest ID from 2MASS group catalog of Tully(2015)","Right ascension in decimal degrees epoch 2000","Declination in decimal degrees epoch 2000","Heliocentric velocity","Hubble type","Group ID from Faber et al. 1989, ApJS, 69, 763","Galactic B absorption from Schlegel et al. 1998, ApJ, 500, 525","V-I color at radius contributing to SBF","Uncertainty in V-I color","Number contributing measures","I magnitude assoc w fluctuation power spectrum","Uncertainty in Ibar","Number of contributing measures","Distance modulus: original Tonry et al. 2001","Uncertainty in distance modulus","Mean annular radius (arcsec) contributing to SBF measurement","Ratio innermost/mean radii contributing to SBF","Ratio outermost/mean radii contributing to SBF","Quality Q=log[Ne(mbar)/PD^2; Ne(mbar)=# e- from obj w mag mbar; PD= psf_FWHM x Vcmb/1000","Product (psf_FWHM) x (Vcmb/1000)","Fluctuation star count at I band: Nbar=mbar-mT - difference fluct. and total mags = 2.5log(total lum/lum typical star",,Quality,"Internal group reference number","Nearby Galaxies Catalog (1988) group ID number","Lavaux-Hudson group ID from 2MASS++ catalog","Filament ID from V8k catalog"
218,N7814,30.45,218,211714,0.813,16.146,1059,2,0,0.19,1.245,0.017,2,29.29,0.10,2,30.60,0.14,36.2,0.45,2.43,8.3,0.51,20.31,0.000,good,1211,"65 -6  6",,65.0
1160,N0063,31.30,1160,212242,4.440,11.449,1160,0,0,0.48,0.979,0.018,2,28.85,0.31,1,31.36,0.33,23.9,0.63,1.26,5.4,1.14,17.82,0.000,good,1213,"65  6  6",,65.0
2004,N0147,24.24,2557,0,8.298,48.508,-193,-5,282,0.75,1.024,0.009,3,22.13,0.15,2,24.44,0.16,35.2,0.00,4.99,9.9,0.01,13.58,0.000,good,222,"14-12 12",,14.0
2329,N0185,23.82,2557,0,9.742,48.338,-202,-5,282,0.79,1.051,0.017,4,21.83,0.13,3,24.02,0.16,42.7,0.00,4.11,9.9,0.01,14.17,0.000,good,222,"14-12 12",,14.0
2555,N0221,24.35,2557,0,10.675,40.865,-200,-6,282,0.35,1.133,0.007,6,22.73,0.05,3,24.55,0.08,29.7,0.00,5.92,9.9,0.01,15.56,1.869,good,222,"14-12 12",,14.0
2557,N0224,24.20,2557,0,10.685,41.269,-300,3,282,0.35,1.231,0.007,5,23.03,0.05,3,24.40,0.08,51.2,0.00,3.43,9.9,0.01,21.60,0.000,good,222,"14-12 12",,14.0
