"Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF","Virgo/Fornax SBF"
pgc,1PGC,J2000,Name,g-z,e_gz,m_sbf,e_msbf,DM,e_dm,dist,e_d,Altname
%7s,%7d,%16s,%7s,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%4.1f,%3.1f,%11s
---,,,,mag,mag,mag,mag,mag,mag,Mpc,Mpc,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Right ascension and declination, epoch 2000","Primary name in publication","Mean g475-z850 color of analyzed region","Error in g475-z850 color","Mean SBF magnitude m_z","Error in SBF magnitude m_z","Distance modulus (m-M)","Error in distance modulus","Distance in Mpc","Error in distance","Alternative names"
12636,12651,J032222.7-372351,FCC19,1.066,0.025,29.258,0.036,31.532,0.074,20.2,0.7,ESO301-08
12651,12651,J032241.7-371230,FCC21,1.368,0.007,29.676,0.020,31.607,0.065,21.0,0.6,NGC1316
12691,12651,J032337.3-354642,FCC26,0.830,0.025,28.974,0.055,31.491,0.139,19.9,1.3,ESO357-25
12825,12923,J032602.2-325340,FCC43,1.154,0.007,29.283,0.039,31.483,0.073,19.8,0.7,ESO358-01
12848,13418,J032632.2-354249,FCC47,1.298,0.013,29.271,0.040,31.314,0.075,18.3,0.6,NGC1336
12878,13418,J032718.0-343135,FCC55,1.248,0.008,29.492,0.051,31.598,0.080,20.9,0.8,ESO358-06
12917,12923,J032806.6-321710,FCC63,1.373,0.029,29.548,0.019,31.470,0.083,19.7,0.8,NGC1339
12923,12923,J032819.6-310405,NGC1340,1.314,0.007,29.583,0.028,31.603,0.068,20.9,0.7,NGC1344
13028,13418,J033035.0-345114,FCC83,1.363,0.017,29.482,0.020,31.422,0.071,19.2,0.6,NGC1351
13058,13418,J033108.2-361724,FCC90,1.013,0.047,29.126,0.144,31.443,0.193,19.4,1.7,
13084,13418,J033124.8-351952,FCC95,1.262,0.013,29.385,0.037,31.475,0.073,19.7,0.7,
13097,13418,J033147.6-350305,FCC100,1.105,0.011,29.324,0.048,31.566,0.078,20.6,0.7,
13146,13418,J033247.6-341419,FCC106,1.186,0.017,29.320,0.025,31.491,0.068,19.9,0.6,
13177,13418,J033333.9-333424,FCC119,1.182,0.018,29.363,0.077,31.538,0.100,20.3,0.9,
13230,13418,J033429.5-353247,FCC136,1.218,0.020,29.248,0.038,31.387,0.075,18.9,0.7,
13252,13418,J033459.2-351016,FCC143,1.273,0.035,29.350,0.041,31.427,0.086,19.3,0.8,NGC1373
13266,13418,J033516.8-351556,FCC148,1.225,0.009,29.367,0.037,31.499,0.072,19.9,0.7,NGC1375
13267,13418,J033516.6-351335,FCC147,1.376,0.014,29.543,0.023,31.459,0.070,19.6,0.6,NGC1374
13277,13418,J033531.0-342650,FCC153,1.262,0.009,29.498,0.034,31.588,0.071,20.8,0.7,ESO358-26
13281,13281,J033533.1-322754,FCC152,1.125,0.011,29.130,0.021,31.355,0.065,18.7,0.6,ESO358-25
13318,13418,J033627.6-345834,FCC167,1.394,0.019,29.750,0.021,31.632,0.075,21.2,0.7,NGC1380
13321,13418,J033631.7-351743,FCC170,1.376,0.019,29.790,0.028,31.706,0.076,21.9,0.8,NGC1381
13335,13418,J033647.5-344423,FCC177,1.257,0.009,29.412,0.019,31.509,0.065,20.0,0.6,NGC1380A
13343,13418,J033654.3-352229,FCC182,1.302,0.029,29.421,0.044,31.458,0.086,19.6,0.8,
13344,13418,J033657.1-353024,FCC184,1.517,0.011,29.857,0.052,31.430,0.087,19.3,0.8,NGC1387
13354,13418,J033709.0-351142,FCC190,1.352,0.016,29.581,0.029,31.540,0.073,20.3,0.7,NGC1382
13360,13418,J033711.7-354446,FCC193,1.369,0.010,29.699,0.033,31.627,0.072,21.2,0.7,NGC1389
13398,13418,J033806.5-352624,FCC202,1.157,0.049,29.312,0.036,31.509,0.083,20.0,0.8,NGC1396
13399,13418,J033809.2-343107,FCC203,1.169,0.010,29.390,0.055,31.577,0.082,20.7,0.8,ESO358-42
13404,13418,J033813.6-330738,FCC204,1.233,0.011,29.495,0.043,31.618,0.075,21.1,0.7,ESO358-43
13418,13418,J033829.1-352702,FCC213,1.500,0.022,29.972,0.020,31.596,0.091,20.9,0.9,NGC1399
13433,13418,J033851.9-353539,FCC219,1.479,0.013,29.842,0.016,31.526,0.072,20.2,0.7,NGC1404
13534,13418,J034042.1-373039,FCC249,1.295,0.022,29.752,0.045,31.799,0.082,22.9,0.9,NGC1419
13550,13418,J034103.6-334646,FCC255,1.197,0.013,29.340,0.023,31.500,0.067,20.0,0.6,ESO358-50
13609,13418,J034219.4-352334,FCC276,1.366,0.007,29.524,0.026,31.459,0.068,19.6,0.6,NGC1427
13611,13418,J034223.0-350912,FCC277,1.313,0.011,29.558,0.046,31.580,0.078,20.7,0.7,NGC1428
13671,13418,J034322.6-335623,FCC288,1.124,0.009,29.453,0.050,31.679,0.079,21.7,0.8,ESO358-56
13753,13418,J034503.6-355822,FCC301,1.232,0.013,29.348,0.047,31.473,0.078,19.7,0.7,ESO358-59
13758,13418,J034514.1-365612,FCC303,1.143,0.017,29.261,0.043,31.471,0.076,19.7,0.7,
13805,13418,J034613.7-364147,FCC310,1.314,0.007,29.479,0.020,31.499,0.065,19.9,0.6,NGC1460
13864,13418,J034752.7-362818,FCC324,1.156,0.010,29.314,0.044,31.513,0.076,20.1,0.7,ESO358-66
13950,13418,J035036.8-355433,FCC335,1.131,0.013,29.220,0.029,31.441,0.068,19.4,0.6,ESO359-02
14077,13418,J035428.4-355802,IC2006,1.422,0.016,29.702,0.049,31.526,0.086,20.2,0.8,ESO359-07
38624,41220,J120922.3+135933,VCC9,1.054,0.014,28.885,0.066,31.168,0.091,17.1,0.7,IC3019
38726,41220,J121023.1+101119,VCC21,0.898,0.015,28.993,0.040,31.421,0.130,19.2,1.1,IC3025
38800,41220,J121107.7+141630,VCC33,1.014,0.014,28.568,0.051,30.884,0.133,15.0,0.9,IC3032
39173,41220,J121512.6+142558,VCC140,1.125,0.014,28.857,0.040,31.082,0.074,16.5,0.6,IC3065
39331,41220,J121633.7+130153,VCC200,1.164,0.014,29.114,0.050,31.306,0.080,18.2,0.7,
39405,41220,J121719.7+115637,VCC230,1.156,0.014,29.063,0.091,31.262,0.110,17.9,0.9,IC3101
39676,41220,J121930.6+145240,VCC355,1.404,0.014,29.089,0.024,30.951,0.072,15.5,0.5,NGC4262
39710,41220,J121945.3+124754,VCC369,1.440,0.014,29.215,0.022,30.997,0.073,15.8,0.5,NGC4267
39857,41220,J122048.8+172914,VCC437,1.208,0.014,29.029,0.049,31.179,0.080,17.2,0.6,UGC7399A
40059,40375,J122214.8+071001,VCC538,1.110,0.014,29.572,0.064,31.810,0.089,23.0,0.9,NGC4309A
40066,41220,J122219.5+144539,VCC543,1.163,0.014,28.795,0.045,30.988,0.077,15.8,0.6,UGC7436
40115,40375,J122241.2+075701,VCC571,1.063,0.014,29.607,0.078,31.883,0.100,23.8,1.1,
40122,40375,J122243.3+081154,VCC575,1.272,0.014,29.639,0.041,31.716,0.076,22.0,0.8,NGC4318
40313,41220,J122405.0+111305,VCC698,1.298,0.014,29.294,0.032,31.337,0.072,18.5,0.6,NGC4352
40375,40375,J122428.2+071903,VCC731,1.489,0.014,30.161,0.015,31.816,0.074,23.1,0.8,NGC4365
40425,41220,J122448.4+181142,VCC751,1.253,0.014,28.891,0.046,30.991,0.078,15.8,0.6,IC3292
40442,41220,J122455.4+114215,VCC759,1.460,0.014,29.407,0.018,31.140,0.073,16.9,0.6,NGC4371
40455,41220,J122503.7+125313,VCC763,1.431,0.014,29.535,0.013,31.338,0.070,18.5,0.6,"NGC4374,M84"
40477,41220,J122512.3+144544,VCC778,1.320,0.014,29.225,0.030,31.236,0.071,17.7,0.6,NGC4377
40484,41220,J122514.7+153627,VCC784,1.368,0.014,29.073,0.024,31.004,0.070,15.9,0.5,NGC4379
40515,41220,J122524.0+181127,VCC798,1.349,0.014,29.298,0.013,31.263,0.067,17.9,0.5,"NGC4382,M85"
40562,41220,J122541.7+124838,VCC828,1.369,0.014,29.347,0.031,31.276,0.073,18.0,0.6,NGC4387
40616,41220,J122557.9+100314,VCC856,1.164,0.014,28.947,0.044,31.139,0.076,16.9,0.6,IC3328
40653,41220,J122611.7+125646,VCC881,1.460,0.014,29.529,0.013,31.262,0.072,17.9,0.6,"NGC4406,M86"
40756,41220,J122650.6+093503,VCC944,1.378,0.014,29.112,0.021,31.025,0.070,16.0,0.5,NGC4417
40886,40375,J122736.7+080916,VCC1025,1.380,0.015,29.850,0.030,31.759,0.074,22.5,0.8,NGC4434
40898,41220,J122740.5+130444,VCC1030,1.306,0.014,29.076,0.020,31.108,0.067,16.7,0.5,NGC4435
40931,41220,J122754.8+080526,VCC1049,1.051,0.014,28.736,0.045,31.021,0.077,16.0,0.6,UGC7580
40950,41220,J122803.9+094813,VCC1062,1.441,0.014,29.146,0.018,30.925,0.072,15.3,0.5,NGC4442
40970,41220,J122812.3+101751,VCC1075,1.150,0.014,28.848,0.076,31.052,0.098,16.2,0.7,IC3383
40985,41220,J122814.9+114723,VCC1087,1.236,0.014,28.989,0.040,31.109,0.075,16.7,0.6,IC3381
41095,41220,J122857.5+131431,VCC1146,1.274,0.014,28.988,0.028,31.063,0.069,16.3,0.5,NGC4458
41104,41220,J122900.0+135843,VCC1154,1.462,0.014,29.295,0.020,31.023,0.073,16.0,0.5,NGC4459
41148,41220,J122921.3+080924,VCC1178,1.370,0.014,29.066,0.031,30.994,0.073,15.8,0.5,NGC4464
41156,41220,J122923.5+122702,VCC1185,1.239,0.014,29.028,0.089,31.145,0.109,16.9,0.9,
41220,41220,J122946.8+080001,VCC1226,1.518,0.014,29.546,0.011,31.116,0.076,16.7,0.6,"NGC4472,M49"
41228,41220,J122948.9+132546,VCC1231,1.446,0.014,29.149,0.017,30.916,0.072,15.3,0.5,NGC4473
41241,41220,J122953.5+140407,VCC1242,1.306,0.014,28.915,0.048,30.947,0.080,15.5,0.6,NGC4474
41255,41220,J122959.1+122055,VCC1250,1.145,0.014,29.027,0.049,31.235,0.079,17.7,0.6,NGC4476
41272,41220,J123010.3+104646,VCC1261,1.131,0.014,29.076,0.035,31.296,0.071,18.2,0.6,NGC4482
41297,41220,J123017.8+121936,VCC1279,1.402,0.014,29.294,0.023,31.160,0.071,17.1,0.6,NGC4478
41302,41220,J123018.4+133439,VCC1283,1.385,0.014,29.304,0.030,31.203,0.073,17.4,0.6,NGC4479
41327,41220,J123032.0+122925,VCC1297,1.457,0.014,29.315,0.045,31.055,0.084,16.3,0.6,NGC4486B
41339,41220,J123040.6+090056,VCC1303,1.354,0.014,29.164,0.027,31.120,0.071,16.8,0.5,NGC4483
41361,41220,J123049.4+122328,VCC1316,1.526,0.014,29.566,0.012,31.111,0.076,16.7,0.6,"NGC4486,M87"
41365,41220,J123052.2+164531,VCC1321,1.259,0.014,28.841,0.028,30.934,0.069,15.4,0.5,NGC4489
41377,41220,J123057.7+121613,VCC1327,1.400,0.014,29.450,0.030,31.320,0.074,18.4,0.6,NGC4486A
41435,41220,J123120.2+140654,VCC1355,1.115,0.014,28.910,0.063,31.144,0.088,16.9,0.7,IC3442
41529,41220,J123202.8+115324,VCC1407,1.220,0.014,28.990,0.030,31.127,0.070,16.8,0.5,IC3461
41552,41220,J123214.2+101505,VCC1422,1.180,0.014,28.759,0.039,30.936,0.074,15.4,0.5,IC3468
41573,41220,J123223.3+111546,VCC1431,1.280,0.014,28.958,0.042,31.025,0.076,16.0,0.6,IC3470
41589,41220,J123233.4+152456,VCC1440,1.186,0.014,28.858,0.048,31.029,0.079,16.1,0.6,IC798
41652,41220,J123304.9+161556,VCC1475,1.215,0.014,28.968,0.032,31.110,0.070,16.7,0.5,NGC4515
41680,41220,J123313.5+092350,VCC1488,0.850,0.014,28.566,0.053,31.054,0.134,16.2,1.0,IC3487
41681,41220,J123313.9+105543,VCC1489,0.993,0.014,28.964,0.097,31.298,0.156,18.2,1.3,IC3490
41723,41220,J123334.7+111543,VCC1512,1.276,0.014,29.240,0.030,31.312,0.070,18.3,0.6,
41754,41220,J123351.6+131921,VCC1528,1.218,0.014,28.926,0.043,31.065,0.076,16.3,0.6,IC3501
41781,41220,J123406.1+111916,VCC1537,1.300,0.014,28.936,0.029,30.976,0.070,15.7,0.5,NGC4528
41782,41220,J123406.8+124430,VCC1539,1.147,0.014,28.939,0.102,31.146,0.119,16.9,0.9,
41797,41220,J123411.5+120256,VCC1545,1.253,0.014,29.023,0.050,31.123,0.081,16.8,0.6,IC3509
41943,41220,J123530.4+121316,VCC1619,1.298,0.014,28.886,0.022,30.929,0.068,15.3,0.5,NGC4550
41959,41220,J123537.2+122255,VCC1627,1.326,0.130,28.962,0.049,30.964,0.216,15.6,1.5,
